repeat_pair_id,raw_file,sheet,sample_identifier,sample_base_identifier,tissue_feather_type,n_rows_in_pair,raw_source_sheet_rows,sample_identifiers_raw,repeat_pair_detected,detection_by_green_formatting,detection_by_rpt_suffix,detection_by_comments,repeat_detection_sources,repeat_detection_pattern,isotopes_present,resolution_statuses,notes
repeat_pair_001,data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP16446_2024-10-21_breast feather,CP16446_2024-10-21_breast feather,Breast,3,18|19|20,CP16446_2024-10-21_breast feather|CP16446_2024-10-21_breast feather_rpt|CP16446_2024-10-21_breast feather_rpt,True,True,True,True,green formatting|_rpt suffix|comments,all_rows_green,normalised_d15n|normalised_d13c,resolved_use_average,"Average stored on source row 18. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green. Non-excluded repeat rows are retained for assay diagnostics."
repeat_pair_002,data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP16470_2024-10-08_breast feather,CP16470_2024-10-08_breast feather,Breast,2,24|25,CP16470_2024-10-08_breast feather|CP16470_2024-10-08_breast feather_rpt,True,True,True,False,green formatting|_rpt suffix,all_rows_green,normalised_d15n|normalised_d13c,resolved_use_average,"Average stored on source row 24. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green. Non-excluded repeat rows are retained for assay diagnostics."
repeat_pair_003,data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP16533_2024-10-11_breast feather,CP16533_2024-10-11_breast feather,Breast,2,33|34,CP16533_2024-10-11_breast feather|CP16533_2024-10-11_breast feather_rpt,True,True,True,False,green formatting|_rpt suffix,all_rows_green,normalised_d15n|normalised_d13c,resolved_use_average,"Average stored on source row 33. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green. Non-excluded repeat rows are retained for assay diagnostics."
repeat_pair_004,data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP16543_2024-10-04_primary feather,CP16543_2024-10-04_primary feather,Primary,2,41|42,CP16543_2024-10-04_primary feather|CP16543_2024-10-04_primary feather_rpt,True,True,True,False,green formatting|_rpt suffix,all_rows_green,normalised_d15n|normalised_d13c,resolved_use_average,"Average stored on source row 41. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green. Non-excluded repeat rows are retained for assay diagnostics."
repeat_pair_005,data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP16627_2024-10-01_breast feather,CP16627_2024-10-01_breast feather,Breast,2,45|46,CP16627_2024-10-01_breast feather|CP16627_2024-10-01_breast feather_rpt,True,True,True,False,green formatting|_rpt suffix,all_rows_green,normalised_d15n|normalised_d13c,resolved_use_average,"Average stored on source row 45. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green. Non-excluded repeat rows are retained for assay diagnostics."
repeat_pair_006,data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP16693_2024-09-30_breast feather,CP16693_2024-09-30_breast feather,Breast,2,78|79,CP16693_2024-09-30_breast feather|CP16693_2024-09-30_breast feather_rpt,True,True,True,True,green formatting|_rpt suffix|comments,rpt_only_green,normalised_d15n|normalised_d13c,resolved_comment_selected_row,Selected source row 79 for normalised_d15n. Other non-excluded repeat rows are retained for assay diagnostics but do not define the modelling value. | Selected source row 79 for normalised_d13c. Other non-excluded repeat rows are retained for assay diagnostics but do not define the modelling value.
repeat_pair_007,data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP16962_2024-12-04_breast feather,CP16962_2024-12-04_breast feather,Breast,2,97|98,CP16962_2024-12-04_breast feather|CP16962_2024-12-04_breast feather_rpt,True,True,True,True,green formatting|_rpt suffix|comments,rpt_only_green,normalised_d15n|normalised_d13c,resolved_comment_selected_row,Selected source row 98 for normalised_d15n. Other non-excluded repeat rows are retained for assay diagnostics but do not define the modelling value. | Selected source row 98 for normalised_d13c. Other non-excluded repeat rows are retained for assay diagnostics but do not define the modelling value.
repeat_pair_008,data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP17010_2024-10-16_primary feather,CP17010_2024-10-16_primary feather,Primary,2,103|104,CP17010_2024-10-16_primary feather|CP17010_2024-10-16_primary feather_rpt,True,True,True,True,green formatting|_rpt suffix|comments,rpt_only_green,normalised_d15n|normalised_d13c,resolved_comment_selected_row,Selected source row 104 for normalised_d15n. Other non-excluded repeat rows are retained for assay diagnostics but do not define the modelling value. | Selected source row 104 for normalised_d13c. Other non-excluded repeat rows are retained for assay diagnostics but do not define the modelling value.
repeat_pair_009,data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP19311_2024-10-11_primary feather,CP19311_2024-10-11_primary feather,Primary,2,112|113,CP19311_2024-10-11_primary feather|CP19311_2024-10-11_primary feather_rpt,True,False,True,False,_rpt suffix,no_green_rpt_named,normalised_d15n|normalised_d13c,resolved_mean_of_valid_repeats,Retained all non-excluded repeat rows for assay diagnostics and used their mean as the adjudicated modelling value.
repeat_pair_010,data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,CP19350_2024-09-30_primary feather,CP19350_2024-09-30_primary feather,Primary,2,125|126,CP19350_2024-09-30_primary feather|CP19350_2024-09-30_primary feather_rpt,True,True,True,False,green formatting|_rpt suffix,all_rows_green,normalised_d15n|normalised_d13c,resolved_use_average,"Average stored on source row 125. Sheet note: * 10 samples were repeat analysed due to autosampler jamming. You can use the C and N data of the individual analyses and/or averages, where data are highlighted in green. Non-excluded repeat rows are retained for assay diagnostics."
