comparison_subset_id,extension_target,ring,sampling_site_label,sampling_location_specific,sampling_location_general,longitude_capture,latitude_capture,status,status_bin,status_rung2_3class,status_au_non_au,sex,tag_id_adjusted,migratory_status_comment,normalised_d13c_Breast,normalised_d15n_Breast,normalised_d2h_Breast,source_phenotype_row_ids,source_measurement_ids_Breast,source_measurement_ids_model_Breast
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,04258275,Te Anau,"Te Anau, Southland","South Island, New Zealand",167.744617,-45.414383,AU migrant,migrant,AU migrant,AU,M,NA,"Originally banded on King Island, Tasmania in 2010 as a first year",-24.7783096085409,10.2217622885413,-0.561124353151239,live_pheno_001|live_pheno_018,live_measurement_0001|live_measurement_0002|live_measurement_0317,live_measurement_0001|live_measurement_0002|live_measurement_0317
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16140,Kaikoura,"Kaikoura, Canterbury","South Island, New Zealand",173.667221,-42.413402,NI migrant,migrant,NZ migrant,non_AU,F,NA,"Resighting at Whangaehu river mouth, North Island on May 16",-21.5316150652432,10.2436446696457,-24.6651858347084,live_pheno_035|live_pheno_042,live_measurement_0005|live_measurement_0006|live_measurement_0319,live_measurement_0005|live_measurement_0006|live_measurement_0319
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16409,Kaitorete,"Kaitorete Spit, Canterbury","South Island, New Zealand",172.431853,-43.845691,resident,resident,resident,non_AU,F,266440,PTT revealed that the bird remained at the tip of Kaitorete Spit the full year,-22.3942241992883,12.7790169166933,-1.51704385612866,live_pheno_069|live_pheno_091,live_measurement_0009|live_measurement_0010|live_measurement_0321,live_measurement_0009|live_measurement_0010|live_measurement_0321
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16446,Kaitorete,"Kaitorete Spit, Canterbury","South Island, New Zealand",172.397899,-43.851742,AU migrant,migrant,AU migrant,AU,M,0A96,"GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",-15.4022577127146,11.2253930192501,-13.4623786355737,live_pheno_002|live_pheno_019,live_measurement_0013|live_measurement_0015|live_measurement_0014|live_measurement_0018|live_measurement_0323,live_measurement_0013|live_measurement_0015|live_measurement_0014|live_measurement_0018|live_measurement_0323
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16461,Kaikoura,"Kaikoura, Canterbury","South Island, New Zealand",173.681777,-42.390193,resident,resident,resident,non_AU,M,NA,Ailsa observation April 14,-24.2775705812574,9.53644589849984,-0.399887446027748,live_pheno_070|live_pheno_092,live_measurement_0021|live_measurement_0022|live_measurement_0325|live_measurement_0326,live_measurement_0021|live_measurement_0022|live_measurement_0325|live_measurement_0326
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16470,Kaikoura,"Kaikoura, Canterbury","South Island, New Zealand",173.663729,-42.413163,resident,resident,resident,non_AU,M,NA,Ailsa observation April 22,-20.1855223087705,11.8090707413693,1.16765672660225,live_pheno_071|live_pheno_093,live_measurement_0025|live_measurement_0027|live_measurement_0026|live_measurement_0028|live_measurement_0328,live_measurement_0025|live_measurement_0027|live_measurement_0026|live_measurement_0028|live_measurement_0328
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16501,Motueka Spit,"Motueka Spit, Tasman Bay","South Island, New Zealand",173.031797,-41.120263,resident,resident,resident,non_AU,M,266467,PTT revealed that the bird remained at Motueka Spit the full year,-14.3823997627521,13.3340336737951,-15.2430603892517,live_pheno_072|live_pheno_094,live_measurement_0031|live_measurement_0032|live_measurement_0330,live_measurement_0031|live_measurement_0032|live_measurement_0330
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16507,Kaitorete,"Kaitorete Spit, Canterbury","South Island, New Zealand",172.601856,-43.830575,resident,resident,resident,non_AU,F,0AA1,the lightlogger on the GPS tag revealed that the bird remained at Lake Ellesmere over the winter,-23.0949341161739,12.4186358248271,6.70008281067213,live_pheno_073|live_pheno_095,live_measurement_0035|live_measurement_0036|live_measurement_0332,live_measurement_0035|live_measurement_0036|live_measurement_0332
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16529,Cass River,"Cass River, Canterbury","South Island, New Zealand",170.48481,-43.880201,AU migrant,migrant,AU migrant,AU,F,NA,"Resighting at Shoalhaven Heads, New South Wales on February 27",-15.7312208958752,14.3719613890335,-32.6667027189227,live_pheno_003|live_pheno_020,live_measurement_0039|live_measurement_0040|live_measurement_0334,live_measurement_0039|live_measurement_0040|live_measurement_0334
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16533,Tasman River,"Tasman River, Mt. Cook National Park","South Island, New Zealand",170.143316,-43.733096,AU migrant,migrant,AU migrant,AU,F,266448,"PTT revealed this bird attempting trans-Tasman migration twice (departures: March 12 and March 24), with the 2nd attempt failing",-24.042665172555,10.4110709464009,-13.2879079780336,live_pheno_004|live_pheno_021,live_measurement_0043|live_measurement_0045|live_measurement_0044|live_measurement_0046|live_measurement_0336,live_measurement_0043|live_measurement_0045|live_measurement_0044|live_measurement_0046|live_measurement_0336
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16534,Tasman River,"Tasman River, Mt. Cook National Park","South Island, New Zealand",170.145302,-43.731722,AU migrant,migrant,AU migrant,AU,M,266373,"PTT revealed this bird migrating to the mouth of the Snowy River, Victoria (arrival: April 3)",-10.2603025349417,10.5236576148647,7.67023696197101,live_pheno_005|live_pheno_022,live_measurement_0049|live_measurement_0050|live_measurement_0338,live_measurement_0049|live_measurement_0050|live_measurement_0338
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16536,Tasman River,"Tasman River, Mt. Cook National Park","South Island, New Zealand",170.144062,-43.736643,SI migrant,migrant,NZ migrant,non_AU,M,266428,"PTT revealed this bird wintering at Farewell Spit (arrival: Jan 2, departure: Sep 2)",-15.617931624941,13.6422268824368,3.72524978572474,live_pheno_049|live_pheno_059,live_measurement_0053|live_measurement_0054|live_measurement_0340,live_measurement_0053|live_measurement_0054|live_measurement_0340
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16543,Motueka Spit,"Motueka Spit, Tasman Bay","South Island, New Zealand",173.033468,-41.123473,resident,resident,resident,non_AU,F,266466,PTT revealed that the bird remained at Motueka Spit the full year (except for a brief 2 day foray to Takaka in mid-December),-14.0446412953552,12.7463740136981,-23.3261466074447,live_pheno_074|live_pheno_096,live_measurement_0057|live_measurement_0058|live_measurement_0342,live_measurement_0057|live_measurement_0058|live_measurement_0342
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16609,Kaikoura,"Kaikoura, Canterbury","South Island, New Zealand",173.667221,-42.413402,SI migrant,migrant,NZ migrant,non_AU,F,NA,PTT during ethics trial revealed this bird moving to the Rakaia River in early March,-22.738304318616,12.0726227186834,-5.07977238638779,live_pheno_050|live_pheno_060,live_measurement_0063|live_measurement_0064|live_measurement_0344,live_measurement_0063|live_measurement_0064|live_measurement_0344
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16627,Kaitorete,"Kaitorete Spit, Canterbury","South Island, New Zealand",172.684973,-43.82787,resident,resident,resident,non_AU,M,266390,PTT revealed that the bird remained near Birdlings Flat and Kaituna Lagoon the full year,-21.2924562087123,13.9967809700958,-5.7186438009701,live_pheno_075|live_pheno_097,live_measurement_0067|live_measurement_0069|live_measurement_0068|live_measurement_0070|live_measurement_0346,live_measurement_0067|live_measurement_0069|live_measurement_0068|live_measurement_0070|live_measurement_0346
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16628,Kaitorete,"Kaitorete Spit, Canterbury","South Island, New Zealand",172.684973,-43.82787,resident,resident,resident,non_AU,F,266391,PTT revealed that the bird remained near Birdlings Flat and Lake Ellesmere the full year,-21.5199033671861,14.3500364670151,5.94469526556098,live_pheno_076|live_pheno_098,live_measurement_0073|live_measurement_0074|live_measurement_0348,live_measurement_0073|live_measurement_0074|live_measurement_0348
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16641,Porters Beach,"Porters Beach, Abel Tasman National Park","South Island, New Zealand",173.011986,-40.992659,SI migrant,migrant,NZ migrant,non_AU,M,266436,PTT revealed that the bird wintered on the mudflats near the Nelson Haven and Boulder Bank (from mid-April to mid-July),-12.6632633451957,14.7772761729971,-9.2631726432784,live_pheno_051|live_pheno_061,live_measurement_0079|live_measurement_0080|live_measurement_0350,live_measurement_0079|live_measurement_0080|live_measurement_0350
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16642,Kaitorete,"Kaitorete Spit, Canterbury","South Island, New Zealand",172.67954,-43.826875,AU migrant,migrant,AU migrant,AU,F,266383,"PTT revealed this bird attempting trans-Tasman migration (departure: May 5), but failing",-17.8242892043911,11.7215509413972,-14.505831756736,live_pheno_006|live_pheno_023,live_measurement_0081|live_measurement_0082|live_measurement_0352,live_measurement_0081|live_measurement_0082|live_measurement_0352
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16643,Kaitorete,"Kaitorete Spit, Canterbury","South Island, New Zealand",172.67954,-43.826875,AU migrant,migrant,AU migrant,AU,M,266405,"PTT revealed this bird attempting trans-Tasman migration (departure: May 5), but failing",-24.2527181048461,8.30492445178543,-15.8921260286888,live_pheno_007|live_pheno_024,live_measurement_0085|live_measurement_0086|live_measurement_0354|live_measurement_0355,live_measurement_0085|live_measurement_0086|live_measurement_0354|live_measurement_0355
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16652,Motueka Spit,"Motueka Spit, Tasman Bay","South Island, New Zealand",173.031797,-41.120263,resident,resident,resident,non_AU,F,266404,PTT revealed that the bird remained at Motueka Spit the full year,-14.09959371293,13.3877449728695,-20.2381498006621,live_pheno_077|live_pheno_099,live_measurement_0089|live_measurement_0090|live_measurement_0357,live_measurement_0089|live_measurement_0090|live_measurement_0357
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16655,Tasman River,"Tasman River, Mt. Cook National Park","South Island, New Zealand",170.144062,-43.736643,AU migrant,migrant,AU migrant,AU,F,266382,"PTT revealed this bird migrating to Cape Barren Island, Tasmania (arrival: March 20)",-24.7559366505141,7.8216830215885,4.85116659614611,live_pheno_008|live_pheno_025,live_measurement_0093|live_measurement_0094|live_measurement_0359,live_measurement_0093|live_measurement_0094|live_measurement_0359
