comparison_subset_id,extension_target,ring,sampling_site_label,sampling_location_specific,sampling_location_general,longitude_capture,latitude_capture,status,status_bin,status_rung2_3class,status_au_non_au,sex,tag_id_adjusted,migratory_status_comment,normalised_d13c_Breast,normalised_d13c_Primary,normalised_d15n_Breast,normalised_d15n_Primary,normalised_d2h_Breast,normalised_d2h_Primary,delta_d13c_breast_minus_primary,delta_d15n_breast_minus_primary,delta_d2h_breast_minus_primary,abs_delta_d13c,abs_delta_d15n,abs_delta_d2h,source_phenotype_row_ids,source_measurement_ids_Breast,source_measurement_ids_Primary,source_measurement_ids_model_Breast,source_measurement_ids_model_Primary
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,04258275,Te Anau,"Te Anau, Southland","South Island, New Zealand",167.744617,-45.414383,AU migrant,migrant,AU migrant,AU,M,NA,"Originally banded on King Island, Tasmania in 2010 as a first year",-24.7783096085409,-22.4357835112693,10.2217622885413,8.09220874561123,-0.561124353151239,-40.7046646902343,-2.3425260972716018,2.1295535429300685,40.14354033708307,2.3425260972716018,2.1295535429300685,40.14354033708307,live_pheno_001|live_pheno_018,live_measurement_0001|live_measurement_0002|live_measurement_0317,live_measurement_0003|live_measurement_0004|live_measurement_0318,live_measurement_0001|live_measurement_0002|live_measurement_0317,live_measurement_0003|live_measurement_0004|live_measurement_0318
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16140,Kaikoura,"Kaikoura, Canterbury","South Island, New Zealand",173.667221,-42.413402,NI migrant,migrant,NZ migrant,non_AU,F,NA,"Resighting at Whangaehu river mouth, North Island on May 16",-21.5316150652432,-17.7990321365754,10.2436446696457,15.3931344565886,-24.6651858347084,-9.62004772430199,-3.732582928667803,-5.149489786942899,-15.045138110406409,3.732582928667803,5.149489786942899,15.045138110406409,live_pheno_035|live_pheno_042,live_measurement_0005|live_measurement_0006|live_measurement_0319,live_measurement_0007|live_measurement_0008|live_measurement_0320,live_measurement_0005|live_measurement_0006|live_measurement_0319,live_measurement_0007|live_measurement_0008|live_measurement_0320
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16409,Kaitorete,"Kaitorete Spit, Canterbury","South Island, New Zealand",172.431853,-43.845691,resident,resident,resident,non_AU,F,266440,PTT revealed that the bird remained at the tip of Kaitorete Spit the full year,-22.3942241992883,-21.9745952015128,12.7790169166933,12.944080586374,-1.51704385612866,-12.8015294537538,-0.4196289977755008,-0.1650636696807002,11.284485597625139,0.4196289977755008,0.1650636696807002,11.284485597625139,live_pheno_069|live_pheno_091,live_measurement_0009|live_measurement_0010|live_measurement_0321,live_measurement_0011|live_measurement_0012|live_measurement_0322,live_measurement_0009|live_measurement_0010|live_measurement_0321,live_measurement_0011|live_measurement_0012|live_measurement_0322
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16446,Kaitorete,"Kaitorete Spit, Canterbury","South Island, New Zealand",172.397899,-43.851742,AU migrant,migrant,AU migrant,AU,M,0A96,"GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",-15.4022577127146,-20.6758279163219,11.2253930192501,14.0444474706613,-13.4623786355737,-19.1182563273475,5.273570203607299,-2.8190544514111995,5.655877691773799,5.273570203607299,2.8190544514111995,5.655877691773799,live_pheno_002|live_pheno_019,live_measurement_0013|live_measurement_0015|live_measurement_0014|live_measurement_0018|live_measurement_0323,live_measurement_0019|live_measurement_0020|live_measurement_0324,live_measurement_0013|live_measurement_0015|live_measurement_0014|live_measurement_0018|live_measurement_0323,live_measurement_0019|live_measurement_0020|live_measurement_0324
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16461,Kaikoura,"Kaikoura, Canterbury","South Island, New Zealand",173.681777,-42.390193,resident,resident,resident,non_AU,M,NA,Ailsa observation April 14,-24.2775705812574,-14.485979789623,9.53644589849984,11.6689730444186,-0.399887446027748,-14.8135063992905,-9.7915907916344,-2.1325271459187594,14.413618953262752,9.7915907916344,2.1325271459187594,14.413618953262752,live_pheno_070|live_pheno_092,live_measurement_0021|live_measurement_0022|live_measurement_0325|live_measurement_0326,live_measurement_0023|live_measurement_0024|live_measurement_0327,live_measurement_0021|live_measurement_0022|live_measurement_0325|live_measurement_0326,live_measurement_0023|live_measurement_0024|live_measurement_0327
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16470,Kaikoura,"Kaikoura, Canterbury","South Island, New Zealand",173.663729,-42.413163,resident,resident,resident,non_AU,M,NA,Ailsa observation April 22,-20.1855223087705,-14.5829328684553,11.8090707413693,14.7703700885168,1.16765672660225,-17.3986273095807,-5.602589440315201,-2.9612993471475004,18.56628403618295,5.602589440315201,2.9612993471475004,18.56628403618295,live_pheno_071|live_pheno_093,live_measurement_0025|live_measurement_0027|live_measurement_0026|live_measurement_0028|live_measurement_0328,live_measurement_0029|live_measurement_0030|live_measurement_0329,live_measurement_0025|live_measurement_0027|live_measurement_0026|live_measurement_0028|live_measurement_0328,live_measurement_0029|live_measurement_0030|live_measurement_0329
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16501,Motueka Spit,"Motueka Spit, Tasman Bay","South Island, New Zealand",173.031797,-41.120263,resident,resident,resident,non_AU,M,266467,PTT revealed that the bird remained at Motueka Spit the full year,-14.3823997627521,-14.7425014773667,13.3340336737951,11.7608367044499,-15.2430603892517,-11.9011912315008,0.3601017146146006,1.573196969345199,-3.3418691577508994,0.3601017146146006,1.573196969345199,3.3418691577508994,live_pheno_072|live_pheno_094,live_measurement_0031|live_measurement_0032|live_measurement_0330,live_measurement_0033|live_measurement_0034|live_measurement_0331,live_measurement_0031|live_measurement_0032|live_measurement_0330,live_measurement_0033|live_measurement_0034|live_measurement_0331
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16507,Kaitorete,"Kaitorete Spit, Canterbury","South Island, New Zealand",172.601856,-43.830575,resident,resident,resident,non_AU,F,0AA1,the lightlogger on the GPS tag revealed that the bird remained at Lake Ellesmere over the winter,-23.0949341161739,-22.3483351915414,12.4186358248271,13.3089619458985,6.70008281067213,-26.4523764524518,-0.7465989246325009,-0.8903261210714,33.15245926312393,0.7465989246325009,0.8903261210714,33.15245926312393,live_pheno_073|live_pheno_095,live_measurement_0035|live_measurement_0036|live_measurement_0332,live_measurement_0037|live_measurement_0038|live_measurement_0333,live_measurement_0035|live_measurement_0036|live_measurement_0332,live_measurement_0037|live_measurement_0038|live_measurement_0333
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16529,Cass River,"Cass River, Canterbury","South Island, New Zealand",170.48481,-43.880201,AU migrant,migrant,AU migrant,AU,F,NA,"Resighting at Shoalhaven Heads, New South Wales on February 27",-15.7312208958752,-23.0117911594374,14.3719613890335,7.4861809588657,-32.6667027189227,-55.5965207215819,7.2805702635622005,6.8857804301678,22.929818002659204,7.2805702635622005,6.8857804301678,22.929818002659204,live_pheno_003|live_pheno_020,live_measurement_0039|live_measurement_0040|live_measurement_0334,live_measurement_0041|live_measurement_0042|live_measurement_0335,live_measurement_0039|live_measurement_0040|live_measurement_0334,live_measurement_0041|live_measurement_0042|live_measurement_0335
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16533,Tasman River,"Tasman River, Mt. Cook National Park","South Island, New Zealand",170.143316,-43.733096,AU migrant,migrant,AU migrant,AU,F,266448,"PTT revealed this bird attempting trans-Tasman migration twice (departures: March 12 and March 24), with the 2nd attempt failing",-24.042665172555,-23.7924654296182,10.4110709464009,3.44517843553491,-13.2879079780336,-20.9252310028528,-0.25019974293680036,6.96589251086599,7.637323024819201,0.25019974293680036,6.96589251086599,7.637323024819201,live_pheno_004|live_pheno_021,live_measurement_0043|live_measurement_0045|live_measurement_0044|live_measurement_0046|live_measurement_0336,live_measurement_0047|live_measurement_0048|live_measurement_0337,live_measurement_0043|live_measurement_0045|live_measurement_0044|live_measurement_0046|live_measurement_0336,live_measurement_0047|live_measurement_0048|live_measurement_0337
