validation_layer,split_id,ring,sampling_site_label,sampling_location_specific,coord_group,status_rung1,status_rung2,comparison_subset_id,extension_target,status,status_rung2_3class,status_au_non_au
blocked_site_cv,Fold4,04258275,Te Anau,"Te Anau, Southland","167.744617,-45.414383",migrant,AU migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,AU migrant,AU migrant,AU
blocked_site_cv,Fold4,CP16140,Kaikoura,"Kaikoura, Canterbury","173.667221,-42.413402",migrant,NZ migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,NI migrant,NZ migrant,non_AU
blocked_site_cv,Fold2,CP16409,Kaitorete,"Kaitorete Spit, Canterbury","172.431853,-43.845691",resident,resident,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,resident,resident,non_AU
blocked_site_cv,Fold2,CP16446,Kaitorete,"Kaitorete Spit, Canterbury","172.397899,-43.851742",migrant,AU migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,AU migrant,AU migrant,AU
blocked_site_cv,Fold4,CP16461,Kaikoura,"Kaikoura, Canterbury","173.681777,-42.390193",resident,resident,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,resident,resident,non_AU
blocked_site_cv,Fold4,CP16470,Kaikoura,"Kaikoura, Canterbury","173.663729,-42.413163",resident,resident,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,resident,resident,non_AU
blocked_site_cv,Fold1,CP16501,Motueka Spit,"Motueka Spit, Tasman Bay","173.031797,-41.120263",resident,resident,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,resident,resident,non_AU
blocked_site_cv,Fold2,CP16507,Kaitorete,"Kaitorete Spit, Canterbury","172.601856,-43.830575",resident,resident,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,resident,resident,non_AU
blocked_site_cv,Fold3,CP16529,Cass River,"Cass River, Canterbury","170.48481,-43.880201",migrant,AU migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,AU migrant,AU migrant,AU
blocked_site_cv,Fold1,CP16533,Tasman River,"Tasman River, Mt. Cook National Park","170.143316,-43.733096",migrant,AU migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,AU migrant,AU migrant,AU
blocked_site_cv,Fold1,CP16534,Tasman River,"Tasman River, Mt. Cook National Park","170.145302,-43.731722",migrant,AU migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,AU migrant,AU migrant,AU
blocked_site_cv,Fold1,CP16536,Tasman River,"Tasman River, Mt. Cook National Park","170.144062,-43.736643",migrant,NZ migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,SI migrant,NZ migrant,non_AU
blocked_site_cv,Fold1,CP16543,Motueka Spit,"Motueka Spit, Tasman Bay","173.033468,-41.123473",resident,resident,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,resident,resident,non_AU
blocked_site_cv,Fold4,CP16609,Kaikoura,"Kaikoura, Canterbury","173.667221,-42.413402",migrant,NZ migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,SI migrant,NZ migrant,non_AU
blocked_site_cv,Fold2,CP16627,Kaitorete,"Kaitorete Spit, Canterbury","172.684973,-43.82787",resident,resident,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,resident,resident,non_AU
blocked_site_cv,Fold2,CP16628,Kaitorete,"Kaitorete Spit, Canterbury","172.684973,-43.82787",resident,resident,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,resident,resident,non_AU
blocked_site_cv,Fold4,CP16641,Porters Beach,"Porters Beach, Abel Tasman National Park","173.011986,-40.992659",migrant,NZ migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,SI migrant,NZ migrant,non_AU
blocked_site_cv,Fold2,CP16642,Kaitorete,"Kaitorete Spit, Canterbury","172.67954,-43.826875",migrant,AU migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,AU migrant,AU migrant,AU
blocked_site_cv,Fold2,CP16643,Kaitorete,"Kaitorete Spit, Canterbury","172.67954,-43.826875",migrant,AU migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,AU migrant,AU migrant,AU
blocked_site_cv,Fold1,CP16652,Motueka Spit,"Motueka Spit, Tasman Bay","173.031797,-41.120263",resident,resident,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,resident,resident,non_AU
blocked_site_cv,Fold1,CP16655,Tasman River,"Tasman River, Mt. Cook National Park","170.144062,-43.736643",migrant,AU migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,AU migrant,AU migrant,AU
blocked_site_cv,Fold1,CP16656,Tasman River,"Tasman River, Mt. Cook National Park","170.146122,-43.727942",migrant,AU migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,AU migrant,AU migrant,AU
blocked_site_cv,Fold3,CP16667,Pisa Range,"Pisa Range, Otago","169.161329995841,-44.8660619650036",migrant,AU migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,AU migrant,AU migrant,AU
blocked_site_cv,Fold2,CP16693,Kaitorete,"Kaitorete Spit, Canterbury","172.608074,-43.830353",migrant,NZ migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,SI migrant,NZ migrant,non_AU
blocked_site_cv,Fold3,CP16784,Tiwai Point,"Tiwai Point, Canterbury","168.433454,-46.606459",resident,resident,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,resident,resident,non_AU
blocked_site_cv,Fold1,CP16815,Tasman River,"Tasman River, Mt. Cook National Park","170.143369,-43.736814",migrant,AU migrant,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,AU migrant,AU migrant,AU
blocked_site_cv,Fold4,CP16906,Kaikoura,"Kaikoura, Canterbury","173.681912,-42.392022",resident,resident,au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,resident,resident,non_AU
