"adjudicated_sample_id","source_branch","source_file","source_sheet","source_sheet_rows","source_sheet_rows_model","sample_id_raw","sample_id_base","ring","feather_type_raw","feather_type","is_repeat_assay","amount_mg","cn_mass_ratio","sex","tag_id_adjusted","tag_id_raw_examples","sampling_location_general","sampling_location_specific","sampling_site_label","status","status_bin","migratory_status_comment","longitude_capture","latitude_capture","status_known","source_phenotype_row_ids","source_phenotype_row_count","sample_identifier_examples","n_retained_assay_rows","n_model_contributing_rows","adjudication_method","assay_qc_variant_name","assay_qc_manual_review_pending","assay_qc_manual_review_reason","assay_qc_manual_review_notes","raw_normalised_d13c","raw_normalised_d15n","raw_normalised_d2h","audit_normalised_d13c","audit_normalised_d15n","audit_normalised_d2h","adjudicated_normalised_d13c","adjudicated_normalised_d15n","adjudicated_normalised_d2h","source_measurement_ids_normalised_d13c","source_measurement_ids_normalised_d15n","source_measurement_ids_normalised_d2h","source_measurement_ids_model_normalised_d13c","source_measurement_ids_model_normalised_d15n","source_measurement_ids_model_normalised_d2h","assay_qc_variant_row_action_normalised_d13c","assay_qc_variant_row_action_normalised_d15n","assay_qc_variant_row_action_normalised_d2h","assay_qc_action_normalised_d13c","assay_qc_action_normalised_d15n","assay_qc_action_normalised_d2h","assay_qc_reason_normalised_d13c","assay_qc_reason_normalised_d15n","assay_qc_reason_normalised_d2h","assay_qc_evidence_source_normalised_d13c","assay_qc_evidence_source_normalised_d15n","assay_qc_evidence_source_normalised_d2h","assay_qc_decision_ids_normalised_d13c","assay_qc_decision_ids_normalised_d15n","assay_qc_decision_ids_normalised_d2h","assay_qc_repeat_pair_detected_normalised_d13c","assay_qc_repeat_pair_detected_normalised_d15n","assay_qc_repeat_pair_detected_normalised_d2h","assay_qc_repeat_detection_sources_normalised_d13c","assay_qc_repeat_detection_sources_normalised_d15n","assay_qc_repeat_detection_sources_normalised_d2h","assay_qc_repeat_detection_pattern_normalised_d13c","assay_qc_repeat_detection_pattern_normalised_d15n","assay_qc_repeat_detection_pattern_normalised_d2h","assay_qc_repeat_resolution_status_normalised_d13c","assay_qc_repeat_resolution_status_normalised_d15n","assay_qc_repeat_resolution_status_normalised_d2h","assay_qc_contributes_to_model_value_normalised_d13c","assay_qc_contributes_to_model_value_normalised_d15n","assay_qc_contributes_to_model_value_normalised_d2h","assay_qc_model_source_rows_normalised_d13c","assay_qc_model_source_rows_normalised_d15n","assay_qc_model_source_rows_normalised_d2h","source_measurement_ids","source_measurement_ids_model"
"live_model_X04258275_2024.10.14_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","12","12","04258275_2024-10-14_breast feather","04258275_2024-10-14_breast feather","04258275","breast","Breast",FALSE,0.265,3.3335208711136,"M",,,"South Island, New Zealand","Te Anau, Southland","Te Anau","AU migrant","migrant","Originally banded on King Island, Tasmania in 2010 as a first year",167.744617,-45.414383,TRUE,"live_pheno_001|live_pheno_018",2,"04258275_2024-10-14",1,1,"single_raw","inclusive",FALSE,,,-24.7783096085409,10.2217622885413,,-24.7783096085409,10.2217622885413,,-24.7783096085409,10.2217622885413,,"live_measurement_0002","live_measurement_0001",,"live_measurement_0002","live_measurement_0001",,"keep","keep",,"keep","keep",,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,TRUE,TRUE,,"12","12",,"live_measurement_0001|live_measurement_0002","live_measurement_0001|live_measurement_0002"
"live_model_X04258275_2024.10.14_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","13","13","04258275_2024-10-14_primary feather","04258275_2024-10-14_primary feather","04258275","primary","Primary",FALSE,0.236,3.34213786994107,"M",,,"South Island, New Zealand","Te Anau, Southland","Te Anau","AU migrant","migrant","Originally banded on King Island, Tasmania in 2010 as a first year",167.744617,-45.414383,TRUE,"live_pheno_001|live_pheno_018",2,"04258275_2024-10-14",1,1,"single_raw","inclusive",FALSE,,,-22.4357835112693,8.09220874561123,,-22.4357835112693,8.09220874561123,,-22.4357835112693,8.09220874561123,,"live_measurement_0004","live_measurement_0003",,"live_measurement_0004","live_measurement_0003",,"keep","keep",,"keep","keep",,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,TRUE,TRUE,,"13","13",,"live_measurement_0003|live_measurement_0004","live_measurement_0003|live_measurement_0004"
"live_model_CP16140_2024.10.08_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","14","14","CP16140_2024-10-08_breast feather","CP16140_2024-10-08_breast feather","CP16140","breast","Breast",FALSE,0.228,3.36466177534886,"F",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","NI migrant","migrant","Resighting at Whangaehu river mouth, North Island on May 16",173.667221,-42.413402,TRUE,"live_pheno_035|live_pheno_042",2,"CP16140_2024-10-08",1,1,"single_raw","inclusive",FALSE,,,-21.5316150652432,10.2436446696457,,-21.5316150652432,10.2436446696457,,-21.5316150652432,10.2436446696457,,"live_measurement_0006","live_measurement_0005",,"live_measurement_0006","live_measurement_0005",,"keep","keep",,"keep","keep",,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,TRUE,TRUE,,"14","14",,"live_measurement_0005|live_measurement_0006","live_measurement_0005|live_measurement_0006"
"live_model_CP16140_2024.10.08_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","15","15","CP16140_2024-10-08_primary feather","CP16140_2024-10-08_primary feather","CP16140","primary","Primary",FALSE,0.229,3.37238633440395,"F",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","NI migrant","migrant","Resighting at Whangaehu river mouth, North Island on May 16",173.667221,-42.413402,TRUE,"live_pheno_035|live_pheno_042",2,"CP16140_2024-10-08",1,1,"single_raw","inclusive",FALSE,,,-17.7990321365754,15.3931344565886,,-17.7990321365754,15.3931344565886,,-17.7990321365754,15.3931344565886,,"live_measurement_0008","live_measurement_0007",,"live_measurement_0008","live_measurement_0007",,"keep","keep",,"keep","keep",,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,TRUE,TRUE,,"15","15",,"live_measurement_0007|live_measurement_0008","live_measurement_0007|live_measurement_0008"
"live_model_CP16409_2024.10.02_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","16","16","CP16409_2024-10-02_breast feather","CP16409_2024-10-02_breast feather","CP16409","breast","Breast",FALSE,0.235,3.34075915033133,"F","266440","266440","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","resident","resident","PTT revealed that the bird remained at the tip of Kaitorete Spit the full year",172.431853,-43.845691,TRUE,"live_pheno_069|live_pheno_091",2,"CP16409_2024-10-02",1,1,"single_raw","inclusive",FALSE,,,-22.3942241992883,12.7790169166933,,-22.3942241992883,12.7790169166933,,-22.3942241992883,12.7790169166933,,"live_measurement_0010","live_measurement_0009",,"live_measurement_0010","live_measurement_0009",,"keep","keep",,"keep","keep",,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,TRUE,TRUE,,"16","16",,"live_measurement_0009|live_measurement_0010","live_measurement_0009|live_measurement_0010"
"live_model_CP16409_2024.10.02_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","17","17","CP16409_2024-10-02_primary feather","CP16409_2024-10-02_primary feather","CP16409","primary","Primary",FALSE,0.231,3.46248814374539,"F","266440","266440","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","resident","resident","PTT revealed that the bird remained at the tip of Kaitorete Spit the full year",172.431853,-43.845691,TRUE,"live_pheno_069|live_pheno_091",2,"CP16409_2024-10-02",1,1,"single_raw","inclusive",FALSE,,,-21.9745952015128,12.944080586374,,-21.9745952015128,12.944080586374,,-21.9745952015128,12.944080586374,,"live_measurement_0012","live_measurement_0011",,"live_measurement_0012","live_measurement_0011",,"keep","keep",,"keep","keep",,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,TRUE,TRUE,,"17","17",,"live_measurement_0011|live_measurement_0012","live_measurement_0011|live_measurement_0012"
"live_model_CP16446_2024.10.21_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","18|20","18|20","CP16446_2024-10-21_breast feather|CP16446_2024-10-21_breast feather_rpt","CP16446_2024-10-21_breast feather","CP16446","breast","Breast",TRUE,0.23,3.4777247943137,"M","0A96","0A96","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","AU migrant","migrant","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",172.397899,-43.851742,TRUE,"live_pheno_002|live_pheno_019",2,"CP16446_2024-10-21",2,2,"lab_green_average","inclusive",FALSE,,,-15.4022577127146,,,-15.4022577127146,,,-15.4022577127146,,,"live_measurement_0014|live_measurement_0018",,,"live_measurement_0014|live_measurement_0018",,,"keep",,,"keep",,,"Green-highlighted average is the lab-approved adjudicated C value for this repeated assay.",,,"sheet note|green average",,,"aqc_0004|aqc_0006",,,TRUE,,,"green formatting|_rpt suffix|comments",,,"all_rows_green",,,"resolved_use_average",,,TRUE,,,"18|20",,,"live_measurement_0014|live_measurement_0018","live_measurement_0014|live_measurement_0018"
"live_model_CP16446_2024.10.21_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","18|19","18|19","CP16446_2024-10-21_breast feather|CP16446_2024-10-21_breast feather_rpt","CP16446_2024-10-21_breast feather","CP16446","breast","Breast",TRUE,0.2365,3.40867610695455,"M","0A96","0A96","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","AU migrant","migrant","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",172.397899,-43.851742,TRUE,"live_pheno_002|live_pheno_019",2,"CP16446_2024-10-21",2,2,"lab_green_average","inclusive",FALSE,,,,11.2253930192501,,,11.2253930192501,,,11.2253930192501,,,"live_measurement_0013|live_measurement_0015",,,"live_measurement_0013|live_measurement_0015",,,"keep",,,"keep",,,"Green-highlighted average is the lab-approved adjudicated N value for this repeated assay.",,,"sheet note|green average",,,"aqc_0001|aqc_0002",,,TRUE,,,"green formatting|_rpt suffix|comments",,,"all_rows_green",,,"resolved_use_average",,,TRUE,,,"18|19",,"live_measurement_0013|live_measurement_0015","live_measurement_0013|live_measurement_0015"
"live_model_CP16446_2024.10.21_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","21","21","CP16446_2024-10-21_primary feather","CP16446_2024-10-21_primary feather","CP16446","primary","Primary",FALSE,0.307,3.31666843417012,"M","0A96","0A96","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","AU migrant","migrant","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",172.397899,-43.851742,TRUE,"live_pheno_002|live_pheno_019",2,"CP16446_2024-10-21",1,1,"single_raw","inclusive",FALSE,,,-20.6758279163219,14.0444474706613,,-20.6758279163219,14.0444474706613,,-20.6758279163219,14.0444474706613,,"live_measurement_0020","live_measurement_0019",,"live_measurement_0020","live_measurement_0019",,"keep","keep",,"keep","keep",,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,TRUE,TRUE,,"21","21",,"live_measurement_0019|live_measurement_0020","live_measurement_0019|live_measurement_0020"
"live_model_CP16461_2024.10.07_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","22","22","CP16461_2024-10-07_breast feather","CP16461_2024-10-07_breast feather","CP16461","breast","Breast",FALSE,0.221,3.32822854215038,"M",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","resident","resident","Ailsa observation April 14",173.681777,-42.390193,TRUE,"live_pheno_070|live_pheno_092",2,"CP16461_2024-10-07",1,1,"single_raw","inclusive",FALSE,,,-24.2775705812574,9.53644589849984,,-24.2775705812574,9.53644589849984,,-24.2775705812574,9.53644589849984,,"live_measurement_0022","live_measurement_0021",,"live_measurement_0022","live_measurement_0021",,"keep","keep",,"keep","keep",,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,TRUE,TRUE,,"22","22",,"live_measurement_0021|live_measurement_0022","live_measurement_0021|live_measurement_0022"
