"ring","feather_type","sex","status","status_bin","status_known","longitude_capture","latitude_capture","tag_id_adjusted","migratory_status_comment","n_assays","n_unique_samples","sample_ids_raw","sample_ids_base","normalised_d13c","normalised_d15n","cn_mass_ratio","amount_mg_mean","amount_mg_sd","source_measurement_ids","source_phenotype_row_ids"
"04258275","Breast","M","AU migrant","migrant",TRUE,167.744617,-45.414383,,"Originally banded on King Island, Tasmania in 2010 as a first year",1,1,"04258275_2024-10-14_breast feather","04258275_2024-10-14_breast feather",-24.7783096085409,10.2217622885413,3.3335208711136,0.265,,"live_measurement_0001","live_pheno_001|live_pheno_018"
"04258275","Primary","M","AU migrant","migrant",TRUE,167.744617,-45.414383,,"Originally banded on King Island, Tasmania in 2010 as a first year",1,1,"04258275_2024-10-14_primary feather","04258275_2024-10-14_primary feather",-22.4357835112693,8.09220874561123,3.34213786994107,0.236,,"live_measurement_0002","live_pheno_001|live_pheno_018"
"CP16140","Breast","F","NI migrant","migrant",TRUE,173.667221,-42.413402,,"Resighting at Whangaehu river mouth, North Island on May 16",1,1,"CP16140_2024-10-08_breast feather","CP16140_2024-10-08_breast feather",-21.5316150652432,10.2436446696457,3.36466177534886,0.228,,"live_measurement_0003","live_pheno_035|live_pheno_042"
"CP16140","Primary","F","NI migrant","migrant",TRUE,173.667221,-42.413402,,"Resighting at Whangaehu river mouth, North Island on May 16",1,1,"CP16140_2024-10-08_primary feather","CP16140_2024-10-08_primary feather",-17.7990321365754,15.3931344565886,3.37238633440395,0.229,,"live_measurement_0004","live_pheno_035|live_pheno_042"
"CP16409","Breast","F","resident","resident",TRUE,172.431853,-43.845691,"266440","PTT revealed that the bird remained at the tip of Kaitorete Spit the full year",1,1,"CP16409_2024-10-02_breast feather","CP16409_2024-10-02_breast feather",-22.3942241992883,12.7790169166933,3.34075915033133,0.235,,"live_measurement_0005","live_pheno_069|live_pheno_091"
"CP16409","Primary","F","resident","resident",TRUE,172.431853,-43.845691,"266440","PTT revealed that the bird remained at the tip of Kaitorete Spit the full year",1,1,"CP16409_2024-10-02_primary feather","CP16409_2024-10-02_primary feather",-21.9745952015128,12.944080586374,3.46248814374539,0.231,,"live_measurement_0006","live_pheno_069|live_pheno_091"
"CP16446","Breast","M","AU migrant","migrant",TRUE,172.397899,-43.851742,"0A96","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",3,1,"CP16446_2024-10-21_breast feather|CP16446_2024-10-21_breast feather_rpt","CP16446_2024-10-21_breast feather",-16.0492721778861,10.824504787958,3.44656282318324,0.227,0.0226053091109146,"live_measurement_0007|live_measurement_0008|live_measurement_0009","live_pheno_002|live_pheno_019"
"CP16446","Primary","M","AU migrant","migrant",TRUE,172.397899,-43.851742,"0A96","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",1,1,"CP16446_2024-10-21_primary feather","CP16446_2024-10-21_primary feather",-20.6758279163219,14.0444474706613,3.31666843417012,0.307,,"live_measurement_0010","live_pheno_002|live_pheno_019"
"CP16461","Breast","M","resident","resident",TRUE,173.681777,-42.390193,,"Ailsa observation April 14",1,1,"CP16461_2024-10-07_breast feather","CP16461_2024-10-07_breast feather",-24.2775705812574,9.53644589849984,3.32822854215038,0.221,,"live_measurement_0011","live_pheno_070|live_pheno_092"
"CP16461","Primary","M","resident","resident",TRUE,173.681777,-42.390193,,"Ailsa observation April 14",1,1,"CP16461_2024-10-07_primary feather","CP16461_2024-10-07_primary feather",-14.485979789623,11.6689730444186,3.29660863121138,0.348,,"live_measurement_0012","live_pheno_070|live_pheno_092"
