"ring","feather_type","sex","status","status_bin","status_known","sampling_location_general","sampling_location_specific","sampling_site_label","longitude_capture","latitude_capture","tag_id_adjusted","migratory_status_comment","n_assays","n_unique_samples","n_retained_assay_rows","n_model_contributing_rows","sample_ids_raw","sample_ids_base","normalised_d13c","normalised_d15n","normalised_d2h","cn_mass_ratio","amount_mg_mean","amount_mg_sd","source_measurement_ids","source_measurement_ids_model","source_phenotype_row_ids","adjudication_methods","has_pending_manual_qc","pending_manual_qc_reasons"
"04258275","Breast","M","AU migrant","migrant",TRUE,"South Island, New Zealand","Te Anau, Southland","Te Anau",167.744617,-45.414383,,"Originally banded on King Island, Tasmania in 2010 as a first year",2,2,2,2,"04258275_2024-10-14_breast|04258275_2024-10-14_breast feather","04258275_2024-10-14_breast|04258275_2024-10-14_breast feather",-24.7783096085409,10.2217622885413,-0.561124353151239,3.3335208711136,0.2115,0.0756604255869606,"live_measurement_0001|live_measurement_0002|live_measurement_0317","live_measurement_0001|live_measurement_0002|live_measurement_0317","live_pheno_001|live_pheno_018","single_raw",FALSE,
"04258275","Primary","M","AU migrant","migrant",TRUE,"South Island, New Zealand","Te Anau, Southland","Te Anau",167.744617,-45.414383,,"Originally banded on King Island, Tasmania in 2010 as a first year",2,2,2,2,"04258275_2024-10-14_primary|04258275_2024-10-14_primary feather","04258275_2024-10-14_primary|04258275_2024-10-14_primary feather",-22.4357835112693,8.09220874561123,-40.7046646902343,3.34213786994107,0.234,0.00282842712474617,"live_measurement_0003|live_measurement_0004|live_measurement_0318","live_measurement_0003|live_measurement_0004|live_measurement_0318","live_pheno_001|live_pheno_018","single_raw",FALSE,
"CP16140","Breast","F","NI migrant","migrant",TRUE,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura",173.667221,-42.413402,,"Resighting at Whangaehu river mouth, North Island on May 16",2,2,2,2,"CP16140_2024-10-08_breast|CP16140_2024-10-08_breast feather","CP16140_2024-10-08_breast|CP16140_2024-10-08_breast feather",-21.5316150652432,10.2436446696457,-24.6651858347084,3.36466177534886,0.187,0.0579827560572969,"live_measurement_0005|live_measurement_0006|live_measurement_0319","live_measurement_0005|live_measurement_0006|live_measurement_0319","live_pheno_035|live_pheno_042","single_raw",FALSE,
"CP16140","Primary","F","NI migrant","migrant",TRUE,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura",173.667221,-42.413402,,"Resighting at Whangaehu river mouth, North Island on May 16",2,2,2,2,"CP16140_2024-10-08_primary|CP16140_2024-10-08_primary feather","CP16140_2024-10-08_primary|CP16140_2024-10-08_primary feather",-17.7990321365754,15.3931344565886,-9.62004772430199,3.37238633440395,0.187,0.05939696961967,"live_measurement_0007|live_measurement_0008|live_measurement_0320","live_measurement_0007|live_measurement_0008|live_measurement_0320","live_pheno_035|live_pheno_042","single_raw",FALSE,
"CP16409","Breast","F","resident","resident",TRUE,"South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete",172.431853,-43.845691,"266440","PTT revealed that the bird remained at the tip of Kaitorete Spit the full year",2,2,2,2,"CP16409_2024-10-02_breast|CP16409_2024-10-02_breast feather","CP16409_2024-10-02_breast|CP16409_2024-10-02_breast feather",-22.3942241992883,12.7790169166933,-1.51704385612866,3.34075915033133,0.2025,0.0459619407771256,"live_measurement_0009|live_measurement_0010|live_measurement_0321","live_measurement_0009|live_measurement_0010|live_measurement_0321","live_pheno_069|live_pheno_091","single_raw",FALSE,
"CP16409","Primary","F","resident","resident",TRUE,"South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete",172.431853,-43.845691,"266440","PTT revealed that the bird remained at the tip of Kaitorete Spit the full year",2,2,2,2,"CP16409_2024-10-02_primary|CP16409_2024-10-02_primary feather","CP16409_2024-10-02_primary|CP16409_2024-10-02_primary feather",-21.9745952015128,12.944080586374,-12.8015294537538,3.46248814374539,0.204,0.0381837661840736,"live_measurement_0011|live_measurement_0012|live_measurement_0322","live_measurement_0011|live_measurement_0012|live_measurement_0322","live_pheno_069|live_pheno_091","single_raw",FALSE,
"CP16446","Breast","M","AU migrant","migrant",TRUE,"South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete",172.397899,-43.851742,"0A96","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",3,2,5,5,"CP16446_2024-10-21_breast|CP16446_2024-10-21_breast feather|CP16446_2024-10-21_breast feather_rpt","CP16446_2024-10-21_breast|CP16446_2024-10-21_breast feather",-15.4022577127146,11.2253930192501,-13.4623786355737,3.44320045063413,0.1945,0.0671956099756524,"live_measurement_0013|live_measurement_0015|live_measurement_0014|live_measurement_0018|live_measurement_0323","live_measurement_0013|live_measurement_0015|live_measurement_0014|live_measurement_0018|live_measurement_0323","live_pheno_002|live_pheno_019","lab_green_average|single_raw",FALSE,
"CP16446","Primary","M","AU migrant","migrant",TRUE,"South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete",172.397899,-43.851742,"0A96","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",2,2,2,2,"CP16446_2024-10-21_primary|CP16446_2024-10-21_primary feather","CP16446_2024-10-21_primary|CP16446_2024-10-21_primary feather",-20.6758279163219,14.0444474706613,-19.1182563273475,3.31666843417012,0.2535,0.0756604255869606,"live_measurement_0019|live_measurement_0020|live_measurement_0324","live_measurement_0019|live_measurement_0020|live_measurement_0324","live_pheno_002|live_pheno_019","single_raw",FALSE,
"CP16461","Breast","M","resident","resident",TRUE,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura",173.681777,-42.390193,,"Ailsa observation April 14",2,2,3,3,"CP16461_2024-10-07_breast feather|CP16461_2024-10-07_breast|CP16461_2024-10-07_breast_rpt","CP16461_2024-10-07_breast|CP16461_2024-10-07_breast feather",-24.2775705812574,9.53644589849984,-0.399887446027748,3.32822854215038,0.20775,0.0187383297014435,"live_measurement_0021|live_measurement_0022|live_measurement_0325|live_measurement_0326","live_measurement_0021|live_measurement_0022|live_measurement_0325|live_measurement_0326","live_pheno_070|live_pheno_092","mean_of_valid_repeats|single_raw",FALSE,
"CP16461","Primary","M","resident","resident",TRUE,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura",173.681777,-42.390193,,"Ailsa observation April 14",2,2,2,2,"CP16461_2024-10-07_primary|CP16461_2024-10-07_primary feather","CP16461_2024-10-07_primary|CP16461_2024-10-07_primary feather",-14.485979789623,11.6689730444186,-14.8135063992905,3.29660863121138,0.282,0.0933380951166243,"live_measurement_0023|live_measurement_0024|live_measurement_0327","live_measurement_0023|live_measurement_0024|live_measurement_0327","live_pheno_070|live_pheno_092","single_raw",FALSE,
