"ring","source_phenotype_row_ids","source_phenotype_row_count","sample_identifier_examples","sex","tag_id_adjusted","tag_id_raw_examples","sampling_location_general","sampling_location_specific","sampling_site_label","status","status_bin","migratory_status_comment","longitude_capture","latitude_capture","status_known"
"04258275","live_pheno_001|live_pheno_018",2,"04258275_2024-10-14","M",,,"South Island, New Zealand","Te Anau, Southland","Te Anau","AU migrant","migrant","Originally banded on King Island, Tasmania in 2010 as a first year",167.744617,-45.414383,TRUE
"CP16116","live_pheno_243|live_pheno_399",2,"CP16116_2024-10-07","F",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","unknown","unknown",,173.681752,-42.390619,FALSE
"CP16134","live_pheno_244|live_pheno_400",2,"CP16134_2024-10-08","M",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","unknown","unknown",,173.681582,-42.393482,FALSE
"CP16140","live_pheno_035|live_pheno_042",2,"CP16140_2024-10-08","F",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","NI migrant","migrant","Resighting at Whangaehu river mouth, North Island on May 16",173.667221,-42.413402,TRUE
"CP16146","live_pheno_245|live_pheno_401",2,"CP16146_2024-10-03","M","07EC","07EC","South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","unknown","unknown","GPS stopped transmitting a couple months after deployment",173.674726,-42.415102,FALSE
"CP16149","live_pheno_246|live_pheno_402",2,"CP16149_2024-10-08","F",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","unknown","unknown",,173.681582,-42.393482,FALSE
"CP16188","live_pheno_247|live_pheno_403",2,"CP16188_2024-10-07","M",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","unknown","unknown",,173.681777,-42.390193,FALSE
"CP16306","live_pheno_248|live_pheno_404",2,"CP16306_2024-10-10","F","266463","266463","South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River","unknown","unknown","PTT stopped transmitting a few weeks after deployment",170.143566,-43.73398,FALSE
"CP16409","live_pheno_069|live_pheno_091",2,"CP16409_2024-10-02","F","266440","266440","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","resident","resident","PTT revealed that the bird remained at the tip of Kaitorete Spit the full year",172.431853,-43.845691,TRUE
"CP16446","live_pheno_002|live_pheno_019",2,"CP16446_2024-10-21","M","0A96","0A96","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","AU migrant","migrant","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania",172.397899,-43.851742,TRUE
"CP16453","live_pheno_249|live_pheno_405",2,"CP16453_2024-10-23","F",,,"South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","unknown","unknown",,172.695844,-43.826363,FALSE
"CP16461","live_pheno_070|live_pheno_092",2,"CP16461_2024-10-07","M",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","resident","resident","Ailsa observation April 14",173.681777,-42.390193,TRUE
"CP16470","live_pheno_071|live_pheno_093",2,"CP16470_2024-10-08","M",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","resident","resident","Ailsa observation April 22",173.663729,-42.413163,TRUE
"CP16483","live_pheno_250|live_pheno_406",2,"CP16483_2024-10-07","F",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","unknown","unknown",,173.681157,-42.422283,FALSE
"CP16501","live_pheno_072|live_pheno_094",2,"CP16501_2024-10-05","M","266467","266467","South Island, New Zealand","Motueka Spit, Tasman Bay","Motueka Spit","resident","resident","PTT revealed that the bird remained at Motueka Spit the full year",173.031797,-41.120263,TRUE
"CP16504","live_pheno_251|live_pheno_407",2,"CP16504_2024-10-10","M","266426","266426","South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River","unknown","unknown","PTT stopped transmitting in early April and reanimated in October, never left Tasman Valley",170.143594,-43.738776,FALSE
"CP16507","live_pheno_073|live_pheno_095",2,"CP16507_2024-10-22","F","0AA1","0AA1","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","resident","resident","the lightlogger on the GPS tag revealed that the bird remained at Lake Ellesmere over the winter",172.601856,-43.830575,TRUE
"CP16508","live_pheno_252|live_pheno_408",2,"CP16508_2024-10-22","M","0AE1","0AE1","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","unknown","unknown",,172.596254,-43.831706,FALSE
"CP16510","live_pheno_149|live_pheno_196",2,"CP16510_2024-10-24","M","266419","266419","South Island, New Zealand","Chatham Island, Chatham Islands","Chatham Island","resident","resident","PTT revealed that the bird remained at Kaingaroa the full year",-176.241469,-43.773296,TRUE
"CP16511","live_pheno_150|live_pheno_197",2,"CP16511_2024-10-24","F","266415","266415","South Island, New Zealand","Chatham Island, Chatham Islands","Chatham Island","resident","resident","PTT revealed that the bird remained at Kaingaroa the full year",-176.241469,-43.773296,TRUE
"CP16512","live_pheno_253|live_pheno_409",2,"CP16512_2024-10-24","F",,,"South Island, New Zealand","Chatham Island, Chatham Islands","Chatham Island","unknown","unknown",,-176.244482,-43.77221,FALSE
"CP16513","live_pheno_254|live_pheno_410",2,"CP16513_2024-10-25","M",,,"South Island, New Zealand","Chatham Island, Chatham Islands","Chatham Island","unknown","unknown",,-176.244493,-43.772332,FALSE
"CP16514","live_pheno_255|live_pheno_411",2,"CP16514_2024-10-25","M",,,"South Island, New Zealand","Chatham Island, Chatham Islands","Chatham Island","unknown","unknown",,-176.244493,-43.772332,FALSE
"CP16515","live_pheno_256|live_pheno_412",2,"CP16515_2024-10-26","F",,,"South Island, New Zealand","Chatham Island, Chatham Islands","Chatham Island","unknown","unknown",,-176.417092,-43.923231,FALSE
"CP16516","live_pheno_257|live_pheno_413",2,"CP16516_2024-10-26","M",,,"South Island, New Zealand","Chatham Island, Chatham Islands","Chatham Island","unknown","unknown",,-176.420411,-43.920657,FALSE
"CP16517","live_pheno_258|live_pheno_414",2,"CP16517_2024-10-26","F",,,"South Island, New Zealand","Chatham Island, Chatham Islands","Chatham Island","unknown","unknown",,-176.419048,-43.919418,FALSE
"CP16518","live_pheno_259|live_pheno_415",2,"CP16518_2024-10-26","M",,,"South Island, New Zealand","Chatham Island, Chatham Islands","Chatham Island","unknown","unknown",,-176.420785,-43.918876,FALSE
"CP16520","live_pheno_260|live_pheno_416",2,"CP16520_2024-10-28","F",,,"South Island, New Zealand","Chatham Island, Chatham Islands","Chatham Island","unknown","unknown",,-176.473122,-43.815639,FALSE
"CP16521","live_pheno_261|live_pheno_417",2,"CP16521_2024-10-28","M",,,"South Island, New Zealand","Chatham Island, Chatham Islands","Chatham Island","unknown","unknown",,-176.473122,-43.815639,FALSE
"CP16522","live_pheno_262|live_pheno_418",2,"CP16522_2024-10-28","F",,,"South Island, New Zealand","Chatham Island, Chatham Islands","Chatham Island","unknown","unknown",,-176.47259,-43.815102,FALSE
"CP16523","live_pheno_263|live_pheno_419",2,"CP16523_2024-10-28","M",,,"South Island, New Zealand","Chatham Island, Chatham Islands","Chatham Island","unknown","unknown",,-176.47259,-43.815102,FALSE
"CP16524","live_pheno_264|live_pheno_420",2,"CP16524_2024-10-21","M","0ABF","0ABF","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","unknown","unknown",,172.613603,-43.830902,FALSE
"CP16525","live_pheno_265|live_pheno_421",2,"CP16525_2024-10-21","M",,,"South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","unknown","unknown",,172.605906,-43.830036,FALSE
"CP16526","live_pheno_151|live_pheno_198",2,"CP16526_2024-10-16","M","266392","266392","South Island, New Zealand","Tiwai Point, Canterbury","Tiwai Point","resident","resident","PTT revealed that the bird stayed at the Awarua Bay for the full year except for a 1 month stay at the mouth of the Mokotua stream ca. 5km away",168.420948,-46.601901,TRUE
"CP16527","live_pheno_266|live_pheno_422",2,"CP16527_2024-10-12","M",,,"South Island, New Zealand","Cass River, Canterbury","Cass River","unknown","unknown",,170.485071,-43.87906,FALSE
"CP16528","live_pheno_267|live_pheno_423",2,"CP16528_2024-10-12","M",,,"South Island, New Zealand","Cass River, Canterbury","Cass River","unknown","unknown",,170.485071,-43.87906,FALSE
"CP16529","live_pheno_003|live_pheno_020",2,"CP16529_2024-10-12","F",,,"South Island, New Zealand","Cass River, Canterbury","Cass River","AU migrant","migrant","Resighting at Shoalhaven Heads, New South Wales on February 27",170.48481,-43.880201,TRUE
"CP16530","live_pheno_268|live_pheno_424",2,"CP16530_2024-10-12","M",,,"South Island, New Zealand","Cass River, Canterbury","Cass River","unknown","unknown",,170.482569,-43.879223,FALSE
"CP16531","live_pheno_269|live_pheno_425",2,"CP16531_2024-10-12","M",,,"South Island, New Zealand","Cass River, Canterbury","Cass River","unknown","unknown",,170.480154,-43.878557,FALSE
"CP16532","live_pheno_270|live_pheno_426",2,"CP16532_2024-10-12","F",,,"South Island, New Zealand","Cass River, Canterbury","Cass River","unknown","unknown",,170.480154,-43.878557,FALSE
"CP16533","live_pheno_004|live_pheno_021",2,"CP16533_2024-10-11","F","266448","266448","South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River","AU migrant","migrant","PTT revealed this bird attempting trans-Tasman migration twice (departures: March 12 and March 24), with the 2nd attempt failing",170.143316,-43.733096,TRUE
"CP16534","live_pheno_005|live_pheno_022",2,"CP16534_2024-10-11","M","266373","266373","South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River","AU migrant","migrant","PTT revealed this bird migrating to the mouth of the Snowy River, Victoria (arrival: April 3)",170.145302,-43.731722,TRUE
"CP16535","live_pheno_271|live_pheno_427",2,"CP16535_2024-10-11","F","266409","266409","South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River","unknown","unknown","inconclusive PTT data: gap in transmission coverage over core winter months, suspiciously low fix rate in subsequent summer, no movement from Tasman Valley",170.144324,-43.733753,FALSE
"CP16536","live_pheno_049|live_pheno_059",2,"CP16536_2024-10-10","M","266428","266428","South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River","SI migrant","migrant","PTT revealed this bird wintering at Farewell Spit (arrival: Jan 2, departure: Sep 2)",170.144062,-43.736643,TRUE
"CP16537","live_pheno_272|live_pheno_428",2,"CP16537_2024-10-10","M","266455","266455","South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River","unknown","unknown","inconclusive PTT data: gap in transmission coverage over core winter months, suspiciously low fix rate in subsequent summer, no movement from Tasman Valley",170.144062,-43.736643,FALSE
