"ring","sex","status","status_bin","status_known","sampling_location_general","sampling_location_specific","sampling_site_label","longitude_capture","latitude_capture","tag_id_adjusted","migratory_status_comment","source_phenotype_row_ids","n_tissues_present","tissues_present","has_any_pending_manual_qc","pending_manual_qc_reasons_any","normalised_d13c_Breast","normalised_d13c_Primary","normalised_d15n_Breast","normalised_d15n_Primary","normalised_d2h_Breast","normalised_d2h_Primary","cn_mass_ratio_Breast","cn_mass_ratio_Primary","amount_mg_mean_Breast","amount_mg_mean_Primary","n_assays_Breast","n_assays_Primary","n_unique_samples_Breast","n_unique_samples_Primary","source_measurement_ids_Breast","source_measurement_ids_Primary","source_measurement_ids_model_Breast","source_measurement_ids_model_Primary","has_pending_manual_qc_Breast","has_pending_manual_qc_Primary","pending_manual_qc_reasons_Breast","pending_manual_qc_reasons_Primary","has_breast","has_primary","has_breast_d2h","has_primary_d2h","has_paired_h","has_complete_cn_pair","has_complete_cnh_pair","has_pending_manual_qc","pending_manual_qc_reasons","delta_d13c_breast_minus_primary","delta_d15n_breast_minus_primary"
"04258275","M","AU migrant","migrant",TRUE,"South Island, New Zealand","Te Anau, Southland","Te Anau",167.744617,-45.414383,,"Originally banded on King Island, Tasmania in 2010 as a first year","live_pheno_001|live_pheno_018",2,"Breast|Primary",FALSE,,-24.7783096085409,-22.4357835112693,10.2217622885413,8.09220874561123,-0.561124353151239,-40.7046646902343,3.3335208711136,3.34213786994107,0.2115,0.234,2,2,2,2,"live_measurement_0001|live_measurement_0002|live_measurement_0317","live_measurement_0003|live_measurement_0004|live_measurement_0318","live_measurement_0001|live_measurement_0002|live_measurement_0317","live_measurement_0003|live_measurement_0004|live_measurement_0318",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,-2.34252609727165,2.1295535429301
"CP16140","F","NI migrant","migrant",TRUE,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura",173.667221,-42.413402,,"Resighting at Whangaehu river mouth, North Island on May 16","live_pheno_035|live_pheno_042",2,"Breast|Primary",FALSE,,-21.5316150652432,-17.7990321365754,10.2436446696457,15.3931344565886,-24.6651858347084,-9.62004772430199,3.36466177534886,3.37238633440395,0.187,0.187,2,2,2,2,"live_measurement_0005|live_measurement_0006|live_measurement_0319","live_measurement_0007|live_measurement_0008|live_measurement_0320","live_measurement_0005|live_measurement_0006|live_measurement_0319","live_measurement_0007|live_measurement_0008|live_measurement_0320",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,-3.73258292866777,-5.14948978694289
"CP16409","F","resident","resident",TRUE,"South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete",172.431853,-43.845691,"266440","PTT revealed that the bird remained at the tip of Kaitorete Spit the full year","live_pheno_069|live_pheno_091",2,"Breast|Primary",FALSE,,-22.3942241992883,-21.9745952015128,12.7790169166933,12.944080586374,-1.51704385612866,-12.8015294537538,3.34075915033133,3.46248814374539,0.2025,0.204,2,2,2,2,"live_measurement_0009|live_measurement_0010|live_measurement_0321","live_measurement_0011|live_measurement_0012|live_measurement_0322","live_measurement_0009|live_measurement_0010|live_measurement_0321","live_measurement_0011|live_measurement_0012|live_measurement_0322",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,-0.419628997775433,-0.165063669680752
"CP16446","M","AU migrant","migrant",TRUE,"South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete",172.397899,-43.851742,"0A96","GPS tag and local resighting confirmed overwintering at South Arm (near Hobart), Tasmania","live_pheno_002|live_pheno_019",2,"Breast|Primary",FALSE,,-15.4022577127146,-20.6758279163219,11.2253930192501,14.0444474706613,-13.4623786355737,-19.1182563273475,3.44320045063413,3.31666843417012,0.1945,0.2535,3,2,2,2,"live_measurement_0013|live_measurement_0015|live_measurement_0014|live_measurement_0018|live_measurement_0323","live_measurement_0019|live_measurement_0020|live_measurement_0324","live_measurement_0013|live_measurement_0015|live_measurement_0014|live_measurement_0018|live_measurement_0323","live_measurement_0019|live_measurement_0020|live_measurement_0324",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,5.27357020360734,-2.81905445141117
"CP16461","M","resident","resident",TRUE,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura",173.681777,-42.390193,,"Ailsa observation April 14","live_pheno_070|live_pheno_092",2,"Breast|Primary",FALSE,,-24.2775705812574,-14.485979789623,9.53644589849984,11.6689730444186,-0.399887446027748,-14.8135063992905,3.32822854215038,3.29660863121138,0.20775,0.282,2,2,2,2,"live_measurement_0021|live_measurement_0022|live_measurement_0325|live_measurement_0326","live_measurement_0023|live_measurement_0024|live_measurement_0327","live_measurement_0021|live_measurement_0022|live_measurement_0325|live_measurement_0326","live_measurement_0023|live_measurement_0024|live_measurement_0327",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,-9.79159079163444,-2.13252714591879
"CP16470","M","resident","resident",TRUE,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura",173.663729,-42.413163,,"Ailsa observation April 22","live_pheno_071|live_pheno_093",2,"Breast|Primary",FALSE,,-20.1855223087705,-14.5829328684553,11.8090707413693,14.7703700885168,1.16765672660225,-17.3986273095807,3.40050268705047,3.3511710644874,0.2065,0.244,2,2,2,2,"live_measurement_0025|live_measurement_0027|live_measurement_0026|live_measurement_0028|live_measurement_0328","live_measurement_0029|live_measurement_0030|live_measurement_0329","live_measurement_0025|live_measurement_0027|live_measurement_0026|live_measurement_0028|live_measurement_0328","live_measurement_0029|live_measurement_0030|live_measurement_0329",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,-5.60258944031524,-2.96129934714754
"CP16501","M","resident","resident",TRUE,"South Island, New Zealand","Motueka Spit, Tasman Bay","Motueka Spit",173.031797,-41.120263,"266467","PTT revealed that the bird remained at Motueka Spit the full year","live_pheno_072|live_pheno_094",2,"Breast|Primary",FALSE,,-14.3823997627521,-14.7425014773667,13.3340336737951,11.7608367044499,-15.2430603892517,-11.9011912315008,3.35261396777322,3.44177313189043,0.2175,0.1945,2,2,2,2,"live_measurement_0031|live_measurement_0032|live_measurement_0330","live_measurement_0033|live_measurement_0034|live_measurement_0331","live_measurement_0031|live_measurement_0032|live_measurement_0330","live_measurement_0033|live_measurement_0034|live_measurement_0331",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,0.360101714614668,1.57319696934521
"CP16507","F","resident","resident",TRUE,"South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete",172.601856,-43.830575,"0AA1","the lightlogger on the GPS tag revealed that the bird remained at Lake Ellesmere over the winter","live_pheno_073|live_pheno_095",2,"Breast|Primary",FALSE,,-23.0949341161739,-22.3483351915414,12.4186358248271,13.3089619458985,6.70008281067213,-26.4523764524518,3.36469086103228,3.38600413691432,0.222,0.2985,2,2,2,2,"live_measurement_0035|live_measurement_0036|live_measurement_0332","live_measurement_0037|live_measurement_0038|live_measurement_0333","live_measurement_0035|live_measurement_0036|live_measurement_0332","live_measurement_0037|live_measurement_0038|live_measurement_0333",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,-0.746598924632444,-0.890326121071482
"CP16529","F","AU migrant","migrant",TRUE,"South Island, New Zealand","Cass River, Canterbury","Cass River",170.48481,-43.880201,,"Resighting at Shoalhaven Heads, New South Wales on February 27","live_pheno_003|live_pheno_020",2,"Breast|Primary",FALSE,,-15.7312208958752,-23.0117911594374,14.3719613890335,7.4861809588657,-32.6667027189227,-55.5965207215819,3.43426646916526,3.48768447430857,0.192,0.189,2,2,2,2,"live_measurement_0039|live_measurement_0040|live_measurement_0334","live_measurement_0041|live_measurement_0042|live_measurement_0335","live_measurement_0039|live_measurement_0040|live_measurement_0334","live_measurement_0041|live_measurement_0042|live_measurement_0335",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,7.28057026356222,6.88578043016782
"CP16533","F","AU migrant","migrant",TRUE,"South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River",170.143316,-43.733096,"266448","PTT revealed this bird attempting trans-Tasman migration twice (departures: March 12 and March 24), with the 2nd attempt failing","live_pheno_004|live_pheno_021",2,"Breast|Primary",FALSE,,-24.042665172555,-23.7924654296182,10.4110709464009,3.44517843553491,-13.2879079780336,-20.9252310028528,3.34357721035238,3.3656449754767,0.19,0.2195,2,2,2,2,"live_measurement_0043|live_measurement_0045|live_measurement_0044|live_measurement_0046|live_measurement_0336","live_measurement_0047|live_measurement_0048|live_measurement_0337","live_measurement_0043|live_measurement_0045|live_measurement_0044|live_measurement_0046|live_measurement_0336","live_measurement_0047|live_measurement_0048|live_measurement_0337",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,-0.250199742936754,6.96589251086599
