source_order,ring,model_id,model_label,prediction_available,class,probability,operational_call
1,CP16670,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.5105719471710201,indeterminate
1,CP16670,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.48942805282897994,indeterminate
1,CP16670,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate
1,CP16670,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate
1,CP16670,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.39285714285714285,indeterminate
1,CP16670,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.288324092979378,indeterminate
1,CP16670,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.25306555229770716,indeterminate
1,CP16670,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.45861035472291484,indeterminate
1,CP16670,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.2784754504836468,resident
1,CP16670,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.19707012026173465,resident
1,CP16670,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.5244544292546186,resident
2,CP16671,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.6193573943717087,migrant
2,CP16671,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.38064260562829133,migrant
2,CP16671,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate
2,CP16671,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate
2,CP16671,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.39285714285714285,indeterminate
2,CP16671,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.39005009093033105,indeterminate
2,CP16671,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.2326507478588983,indeterminate
2,CP16671,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.3772991612107706,indeterminate
2,CP16671,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.36286066134752865,indeterminate
2,CP16671,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.2940388019681501,indeterminate
2,CP16671,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.3431005366843213,indeterminate
3,CP16677,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.765069180417569,migrant
3,CP16677,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.234930819582431,migrant
3,CP16677,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate
3,CP16677,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate
3,CP16677,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.39285714285714285,indeterminate
3,CP16677,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.5929213245400108,AU migrant
3,CP16677,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.17743837026507484,AU migrant
3,CP16677,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.2296403051949144,AU migrant
3,CP16677,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.4931917988536931,indeterminate
3,CP16677,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.3345129671434649,indeterminate
3,CP16677,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.17229523400284202,indeterminate
4,CP16678,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.7263732489515122,migrant
4,CP16678,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.27362675104848777,migrant
4,CP16678,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate
4,CP16678,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate
4,CP16678,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.39285714285714285,indeterminate
4,CP16678,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.44541710440422566,indeterminate
4,CP16678,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.29327461659688187,indeterminate
4,CP16678,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.2613082789988925,indeterminate
4,CP16678,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.40326182672949645,indeterminate
4,CP16678,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.4051977028948211,indeterminate
4,CP16678,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.19154047037568242,indeterminate
5,CP16681,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.9242377067431217,migrant
5,CP16681,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.07576229325687833,migrant
5,CP16681,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate
5,CP16681,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate
5,CP16681,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.39285714285714285,indeterminate
5,CP16681,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.6205278354339437,AU migrant
5,CP16681,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.2900678382803261,AU migrant
5,CP16681,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.08940432628573011,AU migrant
5,CP16681,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.4988097847600456,indeterminate
5,CP16681,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.47296576969863735,indeterminate
5,CP16681,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.028224445541317044,indeterminate
6,CP16685,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.9098140026765071,migrant
6,CP16685,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.09018599732349286,migrant
6,CP16685,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate
6,CP16685,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate
