specimen_id,feather_replicate,isotope,n_measurements,value,geo_region,source_measurement_ids,source_branches,source_files,source_sheets,evidence_design
AV1740,C,normalised_d13c,1,-18.0613097861695,New Zealand,museum_measurement_0014,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV1740,D,normalised_d13c,1,-18.2374114003216,New Zealand,museum_measurement_0016,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV1740,E,normalised_d13c,1,-18.4359074393948,New Zealand,museum_measurement_0018,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV1747,A,normalised_d13c,1,-15.0441699922568,New Zealand,museum_measurement_0020,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV1747,C,normalised_d13c,1,-15.4686461373518,New Zealand,museum_measurement_0022,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV1747,F,normalised_d13c,1,-14.1504288522247,New Zealand,museum_measurement_0024,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV1755,B,normalised_d13c,1,-22.8018023705998,New Zealand,museum_measurement_0032,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV1755,E,normalised_d13c,1,-22.8313222943594,New Zealand,museum_measurement_0034,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV1755,G,normalised_d13c,1,-22.858806361308,New Zealand,museum_measurement_0036,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV21986,A,normalised_d13c,1,-14.9688432902496,New Zealand,museum_measurement_0026,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV21986,B,normalised_d13c,1,-15.099138126154,New Zealand,museum_measurement_0028,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV21986,C,normalised_d13c,1,-14.937287509679,New Zealand,museum_measurement_0030,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV21987,A,normalised_d13c,1,-15.4645744237298,New Zealand,museum_measurement_0038,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV21987,E,normalised_d13c,1,-14.2766519745071,New Zealand,museum_measurement_0040,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
