rung,validation_layer,candidate_id,candidate_label,model_family,caution_level,preferred_default,uses_breast_h,uses_primary_h,uses_paired_distance,n_successful_splits,mean_log_loss,sd_log_loss,mean_bal_accuracy,sd_bal_accuracy,mean_accuracy,mean_brier,median_lambda,log_loss_rank,bal_accuracy_rank
rung1,blocked_coordinate_cv,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,ridge_glmnet_binomial,paired_cn_benchmark,TRUE,FALSE,FALSE,FALSE,5,0.5244271701915928,0.0531981572484793,0.6880952380952381,0.11334246161718112,0.7318181818181818,0.17565870153349925,0.238199997259705,1,1
rung1,blocked_coordinate_cv,r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,ridge_glmnet_binomial,primary_h_provisional_pending_triplicate_check,TRUE,TRUE,TRUE,FALSE,5,0.5269616877775225,0.07900616819516264,0.6830952380952381,0.11928963495125097,0.7318181818181818,0.17790204061069134,0.15651673927981444,2,2
rung1,blocked_coordinate_cv,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,ridge_glmnet_binomial,paired_cn_benchmark,TRUE,FALSE,FALSE,TRUE,5,0.5420976313968431,0.029669348197087518,0.6380952380952382,0.04453558540478544,0.6954545454545454,0.18240874234341417,0.33444680086409956,3,3
rung1,blocked_coordinate_cv,r1_f_paired_contrast_cnh,Rung 1 F: Paired-contrast C/N/H,ridge_glmnet_binomial,primary_h_provisional_pending_triplicate_check,TRUE,FALSE,TRUE,TRUE,5,0.5738636892902136,0.04408999877966937,0.579047619047619,0.05211376661882937,0.6590909090909091,0.1967841942739762,0.5502728882293717,4,4
rung1,blocked_coordinate_cv,r1_b_primary_cn,Rung 1 B: Primary-only C/N,ridge_glmnet_binomial,primary_cn_limited_biological_support,TRUE,FALSE,FALSE,FALSE,5,0.6492519256712012,0.048481266541525694,0.5164285714285715,0.10569256533620015,0.6060606060606061,0.22891611144874893,0.7546158175440124,5,5
rung1,blocked_coordinate_cv,r1_h_primary_cnh,Rung 1 H: Primary-only C/N/H,ridge_glmnet_binomial,primary_h_provisional_pending_triplicate_check,FALSE,FALSE,TRUE,FALSE,5,0.6524301566123063,0.04623624320395853,0.4714285714285714,0.06388765649999399,0.5696969696969697,0.23040693528507036,1.98194391459945,6,8
rung1,blocked_coordinate_cv,r1_a_breast_cn,Rung 1 A: Breast-only C/N,ridge_glmnet_binomial,baseline_cn_benchmark,TRUE,FALSE,FALSE,FALSE,5,0.6735494554301261,0.025608876951121625,0.5,0,0.6060606060606061,0.24021405978981736,62.856811891877506,7,6
rung1,blocked_coordinate_cv,r1_e_breast_cnh,Rung 1 E: Breast-only C/N/H,ridge_glmnet_binomial,breast_h_provisional_pending_triplicate_check,TRUE,TRUE,FALSE,FALSE,5,0.6735494554301261,0.025608876951121625,0.5,0,0.6060606060606061,0.24021405978981736,62.856811891877506,7,6
rung1,repeated_stratified_cv,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,ridge_glmnet_binomial,paired_cn_benchmark,TRUE,FALSE,FALSE,TRUE,50,0.5174303201742645,0.060857313502268584,0.721452380952381,0.1415428875914291,0.7493030303030304,0.172800532270883,0.17557858000943005,1,1
rung1,repeated_stratified_cv,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,ridge_glmnet_binomial,paired_cn_benchmark,TRUE,FALSE,FALSE,FALSE,50,0.5296528460575237,0.06552348345069524,0.6816428571428571,0.1253688827925057,0.7136060606060606,0.1785553023501324,0.1455664405533451,2,3
rung1,repeated_stratified_cv,r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,ridge_glmnet_binomial,primary_h_provisional_pending_triplicate_check,TRUE,TRUE,TRUE,FALSE,50,0.5424512018191887,0.08094277943686196,0.6898571428571428,0.14346046878474283,0.7227272727272728,0.18419467263653316,0.15989986370086356,3,2
rung1,repeated_stratified_cv,r1_f_paired_contrast_cnh,Rung 1 F: Paired-contrast C/N/H,ridge_glmnet_binomial,primary_h_provisional_pending_triplicate_check,TRUE,FALSE,TRUE,TRUE,50,0.5525227066990309,0.06041245889654813,0.6636666666666667,0.13208018633114096,0.7091212121212122,0.18738831390253408,0.284032452571536,4,4
rung1,repeated_stratified_cv,r1_b_primary_cn,Rung 1 B: Primary-only C/N,ridge_glmnet_binomial,primary_cn_limited_biological_support,TRUE,FALSE,FALSE,FALSE,50,0.6601588206572853,0.02051867641524447,0.5023095238095238,0.05462515672080197,0.6033939393939394,0.23397080036044632,5.220931356226689,5,6
rung1,repeated_stratified_cv,r1_h_primary_cnh,Rung 1 H: Primary-only C/N/H,ridge_glmnet_binomial,primary_h_provisional_pending_triplicate_check,FALSE,FALSE,TRUE,FALSE,50,0.6624065530410799,0.021181277504955433,0.5043571428571428,0.03379145994943649,0.6077272727272728,0.234988020663134,5.437338115499887,6,5
rung1,repeated_stratified_cv,r1_a_breast_cn,Rung 1 A: Breast-only C/N,ridge_glmnet_binomial,baseline_cn_benchmark,TRUE,FALSE,FALSE,FALSE,50,0.6703860174393071,0.010415707633989883,0.5,0,0.6078787878787879,0.2386955636446958,62.70932892666518,7,7
rung1,repeated_stratified_cv,r1_e_breast_cnh,Rung 1 E: Breast-only C/N/H,ridge_glmnet_binomial,breast_h_provisional_pending_triplicate_check,TRUE,TRUE,FALSE,FALSE,50,0.6703860174393071,0.010415707633989883,0.5,0,0.6078787878787879,0.2386955636446958,63.82892615395605,7,7
