sampling_location_general,sampling_location_specific,sampling_site_label,n_live_phenotype_rings,n_status_known,n_status_unknown,source_phenotype_row_ids,sample_identifier_examples,n_specific_locations_for_site_label,n_site_labels_for_specific_location,grouping_ambiguity,harmonization_note
"South Island, New Zealand","Cass River, Canterbury",Cass River,19,1,18,live_pheno_266|live_pheno_422|live_pheno_267|live_pheno_423|live_pheno_003|live_pheno_020|live_pheno_268|live_pheno_424|live_pheno_269|live_pheno_425|live_pheno_270|live_pheno_426|live_pheno_284|live_pheno_440|live_pheno_122|live_pheno_140|live_pheno_123|live_pheno_141|live_pheno_348|live_pheno_504|live_pheno_349|live_pheno_505|live_pheno_363|live_pheno_519|live_pheno_364|live_pheno_520|live_pheno_365|live_pheno_521|live_pheno_366|live_pheno_522|live_pheno_124|live_pheno_142|live_pheno_125|live_pheno_143|live_pheno_383|live_pheno_539|live_pheno_384|live_pheno_540,CP16527_2024-10-12|CP16528_2024-10-12|CP16529_2024-10-12|CP16530_2024-10-12|CP16531_2024-10-12|CP16532_2024-10-12|CP16658_2024-10-12|CP19307_2024-10-12|CP19308_2024-10-12|CP19309_2024-10-12|CP19310_2024-10-12|CP19372_2024-10-12|CP19373_2024-10-12|CP19374_2024-10-12|CP19375_2024-10-12|CP19902_2024-10-12|CP19903_2024-10-12|CP19904_2024-10-12|CP19905_2024-10-12,1,1,FALSE,NA
"South Island, New Zealand","Chatham Island, Chatham Islands",Chatham Island,19,2,17,live_pheno_149|live_pheno_196|live_pheno_150|live_pheno_197|live_pheno_253|live_pheno_409|live_pheno_254|live_pheno_410|live_pheno_255|live_pheno_411|live_pheno_256|live_pheno_412|live_pheno_257|live_pheno_413|live_pheno_258|live_pheno_414|live_pheno_259|live_pheno_415|live_pheno_260|live_pheno_416|live_pheno_261|live_pheno_417|live_pheno_262|live_pheno_418|live_pheno_263|live_pheno_419|live_pheno_332|live_pheno_488|live_pheno_333|live_pheno_489|live_pheno_334|live_pheno_490|live_pheno_335|live_pheno_491|live_pheno_336|live_pheno_492|live_pheno_337|live_pheno_493,CP16510_2024-10-24|CP16511_2024-10-24|CP16512_2024-10-24|CP16513_2024-10-25|CP16514_2024-10-25|CP16515_2024-10-26|CP16516_2024-10-26|CP16517_2024-10-26|CP16518_2024-10-26|CP16520_2024-10-28|CP16521_2024-10-28|CP16522_2024-10-28|CP16523_2024-10-28|CP16975_2024-10-26|CP16976_2024-10-26|CP16977_2024-10-26|CP16981_2024-10-28|CP16982_2024-10-29|CP16983_2024-10-29,1,1,FALSE,NA
"South Island, New Zealand","Kaikoura, Canterbury",Kaikoura,24,6,18,live_pheno_243|live_pheno_399|live_pheno_244|live_pheno_400|live_pheno_035|live_pheno_042|live_pheno_245|live_pheno_401|live_pheno_246|live_pheno_402|live_pheno_247|live_pheno_403|live_pheno_070|live_pheno_092|live_pheno_071|live_pheno_093|live_pheno_250|live_pheno_406|live_pheno_273|live_pheno_429|live_pheno_276|live_pheno_432|live_pheno_050|live_pheno_060|live_pheno_277|live_pheno_433|live_pheno_278|live_pheno_434|live_pheno_281|live_pheno_437|live_pheno_300|live_pheno_456|live_pheno_079|live_pheno_101|live_pheno_352|live_pheno_508|live_pheno_354|live_pheno_510|live_pheno_355|live_pheno_511|live_pheno_356|live_pheno_512|live_pheno_090|live_pheno_112|live_pheno_397|live_pheno_553|live_pheno_398|live_pheno_554,CP16116_2024-10-07|CP16134_2024-10-08|CP16140_2024-10-08|CP16146_2024-10-03|CP16149_2024-10-08|CP16188_2024-10-07|CP16461_2024-10-07|CP16470_2024-10-08|CP16483_2024-10-07|CP16538_2024-10-07|CP16607_2024-10-08|CP16609_2024-10-08|CP16614_2024-10-07|CP16616_2024-10-07|CP16653_2024-10-08|CP16902_2024-10-07|CP16906_2024-10-08|CP19318_2024-10-07|CP19335_2024-10-07|CP19336_2024-10-07|CP19337_2024-10-07|CP9059_2024-10-08|CP9075_2024-10-07|CP9088_2024-10-08,1,1,FALSE,NA
"South Island, New Zealand","Kaitorete Spit, Canterbury",Kaitorete,56,23,33,live_pheno_069|live_pheno_091|live_pheno_002|live_pheno_019|live_pheno_249|live_pheno_405|live_pheno_073|live_pheno_095|live_pheno_252|live_pheno_408|live_pheno_264|live_pheno_420|live_pheno_265|live_pheno_421|live_pheno_075|live_pheno_097|live_pheno_076|live_pheno_098|live_pheno_154|live_pheno_201|live_pheno_155|live_pheno_202|live_pheno_156|live_pheno_203|live_pheno_006|live_pheno_023|live_pheno_007|live_pheno_024|live_pheno_157|live_pheno_204|live_pheno_280|live_pheno_436|live_pheno_285|live_pheno_441|live_pheno_286|live_pheno_442|live_pheno_287|live_pheno_443|live_pheno_052|live_pheno_062|live_pheno_299|live_pheno_455|live_pheno_160|live_pheno_207|live_pheno_161|live_pheno_208|live_pheno_162|live_pheno_209|live_pheno_347|live_pheno_503|live_pheno_175|live_pheno_222|live_pheno_176|live_pheno_223|live_pheno_177|live_pheno_224|live_pheno_081|live_pheno_103|live_pheno_359|live_pheno_515|live_pheno_360|live_pheno_516|live_pheno_056|live_pheno_066|live_pheno_178|live_pheno_225|live_pheno_179|live_pheno_226|live_pheno_361|live_pheno_517|live_pheno_367|live_pheno_523|live_pheno_368|live_pheno_524|live_pheno_369|live_pheno_525|live_pheno_186|live_pheno_233|live_pheno_370|live_pheno_526|live_pheno_371|live_pheno_527|live_pheno_372|live_pheno_528|live_pheno_373|live_pheno_529|live_pheno_374|live_pheno_530|live_pheno_375|live_pheno_531|live_pheno_376|live_pheno_532|live_pheno_377|live_pheno_533|live_pheno_378|live_pheno_534|live_pheno_379|live_pheno_535|live_pheno_380|live_pheno_536|live_pheno_381|live_pheno_537|live_pheno_385|live_pheno_541|live_pheno_386|live_pheno_542|live_pheno_387|live_pheno_543|live_pheno_388|live_pheno_544|live_pheno_396|live_pheno_552,CP16409_2024-10-02|CP16446_2024-10-21|CP16453_2024-10-23|CP16507_2024-10-22|CP16508_2024-10-22|CP16524_2024-10-21|CP16525_2024-10-21|CP16627_2024-10-01|CP16628_2024-10-01|CP16632_2024-10-01|CP16635_2024-10-01|CP16636_2024-10-01|CP16642_2024-10-01|CP16643_2024-10-01|CP16650_2024-10-02|CP16651_2024-10-02|CP16664_2024-10-21|CP16665_2024-10-21|CP16666_2024-10-21|CP16693_2024-09-30|CP16697_2024-09-30|CP16698_2024-09-30|CP16699_2024-10-01|CP16736_2024-10-22|CP19304_2024-10-02|CP19341_2024-10-01|CP19342_2024-10-01|CP19345_2024-10-01|CP19346_2024-10-02|CP19348_2024-10-02|CP19349_2024-10-02|CP19350_2024-09-30|CP19353_2024-10-01|CP19356_2024-10-02|CP19358_2024-10-02|CP19376_2024-10-21|CP19377_2024-10-21|CP19378_2024-10-21|CP19379_2024-10-21|CP19380_2024-10-22|CP19381_2024-10-22|CP19382_2024-10-22|CP19384_2024-10-23|CP19387_2024-10-23|CP19388_2024-10-23|CP19389_2024-10-23|CP19390_2024-10-23|CP19394_2024-10-23|CP19395_2024-10-23|CP19398_2024-10-23|CP19399_2024-10-24|CP19925_2024-10-21|CP19926_2024-10-21|CP19927_2024-10-22|CP19928_2024-10-22|CP19989_2024-10-22,1,1,FALSE,sampling_site_label harmonized from 'Kaitorete Spit' to 'Kaitorete'
"South Island, New Zealand","Kina Peninsula, Tasman Bay",Kina Peninsula,8,6,2,live_pheno_279|live_pheno_435|live_pheno_165|live_pheno_212|live_pheno_166|live_pheno_213|live_pheno_167|live_pheno_214|live_pheno_169|live_pheno_216|live_pheno_173|live_pheno_220|live_pheno_174|live_pheno_221|live_pheno_353|live_pheno_509,CP16638_2024-10-04|CP19320_2024-10-06|CP19321_2024-10-06|CP19323_2024-10-06|CP19325_2024-10-04|CP19331_2024-10-06|CP19333_2024-10-06|CP19334_2024-10-06,1,1,FALSE,NA
"South Island, New Zealand","Motueka Spit, Tasman Bay",Motueka Spit,14,12,2,live_pheno_072|live_pheno_094|live_pheno_274|live_pheno_430|live_pheno_152|live_pheno_199|live_pheno_153|live_pheno_200|live_pheno_275|live_pheno_431|live_pheno_074|live_pheno_096|live_pheno_077|live_pheno_099|live_pheno_180|live_pheno_227|live_pheno_057|live_pheno_067|live_pheno_082|live_pheno_104|live_pheno_181|live_pheno_228|live_pheno_182|live_pheno_229|live_pheno_183|live_pheno_230|live_pheno_083|live_pheno_105,CP16501_2024-10-05|CP16539_2024-10-06|CP16540_2024-10-06|CP16541_2024-10-05|CP16542_2024-10-04|CP16543_2024-10-04|CP16652_2024-10-04|CP19359_2024-10-04|CP19360_2024-10-04|CP19361_2024-10-04|CP19362_2024-10-04|CP19363_2024-10-05|CP19364_2024-10-06|CP19371_2024-10-05,1,1,FALSE,NA
"South Island, New Zealand","Napier, Hawkes Bay",Napier,35,3,32,live_pheno_301|live_pheno_457|live_pheno_302|live_pheno_458|live_pheno_315|live_pheno_471|live_pheno_316|live_pheno_472|live_pheno_317|live_pheno_473|live_pheno_318|live_pheno_474|live_pheno_039|live_pheno_046|live_pheno_319|live_pheno_475|live_pheno_120|live_pheno_138|live_pheno_121|live_pheno_139|live_pheno_320|live_pheno_476|live_pheno_321|live_pheno_477|live_pheno_322|live_pheno_478|live_pheno_323|live_pheno_479|live_pheno_324|live_pheno_480|live_pheno_325|live_pheno_481|live_pheno_326|live_pheno_482|live_pheno_327|live_pheno_483|live_pheno_328|live_pheno_484|live_pheno_329|live_pheno_485|live_pheno_330|live_pheno_486|live_pheno_331|live_pheno_487|live_pheno_338|live_pheno_494|live_pheno_339|live_pheno_495|live_pheno_340|live_pheno_496|live_pheno_040|live_pheno_047|live_pheno_341|live_pheno_497|live_pheno_342|live_pheno_498|live_pheno_343|live_pheno_499|live_pheno_344|live_pheno_500|live_pheno_345|live_pheno_501|live_pheno_389|live_pheno_545|live_pheno_390|live_pheno_546|live_pheno_041|live_pheno_048|live_pheno_391|live_pheno_547,CP16929_2024-11-01|CP16931_2024-11-01|CP16954_2024-12-03|CP16955_2024-12-03|CP16956_2024-12-03|CP16957_2024-12-03|CP16958_2024-12-03|CP16960_2024-12-03|CP16961_2024-12-04|CP16962_2024-12-04|CP16963_2024-12-04|CP16964_2024-12-04|CP16965_2024-12-04|CP16966_2024-12-04|CP16967_2024-12-04|CP16968_2024-12-05|CP16969_2024-12-05|CP16970_2024-12-05|CP16971_2024-12-05|CP16972_2024-12-05|CP16973_2024-12-05|CP16974_2024-12-05|CP16984_2024-10-30|CP16987_2024-10-30|CP16989_2024-10-31|CP16990_2024-10-31|CP16993_2024-10-31|CP16995_2024-10-31|CP16997_2024-11-01|CP16998_2024-11-01|CP16999_2024-11-01|CP19929_2024-12-05|CP19930_2024-12-05|CP19931_2024-12-05|CP19932_2024-12-05,1,1,FALSE,NA
"South Island, New Zealand","Old Man Range, Otago",Old Man Range,11,0,11,live_pheno_113|live_pheno_131|live_pheno_114|live_pheno_132|live_pheno_290|live_pheno_446|live_pheno_291|live_pheno_447|live_pheno_292|live_pheno_448|live_pheno_293|live_pheno_449|live_pheno_294|live_pheno_450|live_pheno_115|live_pheno_133|live_pheno_116|live_pheno_134|live_pheno_295|live_pheno_451|live_pheno_119|live_pheno_137,CP16670_2024-12-11|CP16671_2024-12-11|CP16672_2024-12-11|CP16673_2024-12-11|CP16674_2024-12-13|CP16675_2024-12-13|CP16676_2024-12-13|CP16677_2024-12-13|CP16678_2024-12-13|CP16679_2024-12-13|CP16686_2025-01-07,1,1,FALSE,NA
"South Island, New Zealand","Pisa Range, Otago",Pisa Range,9,1,8,live_pheno_010|live_pheno_027|live_pheno_288|live_pheno_444|live_pheno_289|live_pheno_445|live_pheno_392|live_pheno_548|live_pheno_126|live_pheno_144|live_pheno_127|live_pheno_145|live_pheno_128|live_pheno_146|live_pheno_129|live_pheno_147|live_pheno_393|live_pheno_549,CP16667_2024-12-09|CP16668_2024-12-10|CP16669_2024-12-10|CP19936_2025-01-09|CP19938_2025-01-09|CP19939_2025-01-09|CP19940_2025-01-09|CP19941_2025-01-09|CP19943_2025-01-10,1,1,FALSE,NA
"South Island, New Zealand","Porters Beach, Abel Tasman National Park",Porters Beach,6,6,0,live_pheno_051|live_pheno_061|live_pheno_168|live_pheno_215|live_pheno_055|live_pheno_065|live_pheno_170|live_pheno_217|live_pheno_171|live_pheno_218|live_pheno_172|live_pheno_219,CP16641_2024-10-05|CP19324_2024-10-05|CP19327_2024-10-04|CP19328_2024-10-04|CP19329_2024-10-04|CP19330_2024-10-04,1,1,FALSE,NA
