candidate_id,candidate_label,caution_level,preferred_default,uses_breast_h,uses_primary_h,primary_mean_log_loss,primary_log_loss_rank,primary_mean_bal_accuracy,blocked_mean_log_loss,blocked_log_loss_rank,blocked_mean_bal_accuracy,log_loss_rank_shift,bal_accuracy_rank_shift,uses_any_h,rung_name,baseline_primary_rank,h_primary_rank,recommended_for_stage3,recommendation_note,rung
r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,paired_cn_benchmark,TRUE,FALSE,FALSE,0.5174303201742645,1,0.721452380952381,0.5420976313968431,3,0.6380952380952382,0.6800000000000002,0.30000000000000027,FALSE,rung1,1,5,TRUE,Advance to Stage 3 as the main non-H benchmark.,rung1
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,TRUE,FALSE,FALSE,0.5296528460575237,2,0.6816428571428571,0.5244271701915928,1,0.6880952380952381,-0.9099999999999997,-0.6099999999999999,FALSE,rung1,2,5,TRUE,Advance to Stage 3 as a secondary non-H paired benchmark because it remained near-leading across both validation layers.,rung1
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,primary_h_provisional_pending_triplicate_check,TRUE,TRUE,TRUE,0.5424512018191887,3,0.6898571428571428,0.5269616877775225,2,0.6830952380952381,-0.8300000000000001,-0.5099999999999998,TRUE,rung1,5,1,FALSE,Do not prioritize for Stage 3.,rung1
r1_f_paired_contrast_cnh,Rung 1 F: Paired-contrast C/N/H,primary_h_provisional_pending_triplicate_check,TRUE,FALSE,TRUE,0.5525227066990309,4,0.6636666666666667,0.5738636892902136,4,0.579047619047619,0.48,0.48,TRUE,rung1,5,2,FALSE,Do not prioritize for Stage 3.,rung1
r1_b_primary_cn,Rung 1 B: Primary-only C/N,primary_cn_limited_biological_support,TRUE,FALSE,FALSE,0.6601588206572853,5,0.5023095238095238,0.6492519256712012,5,0.5164285714285715,-0.20000000000000018,-0.8599999999999994,FALSE,rung1,3,5,FALSE,Do not prioritize for Stage 3.,rung1
r1_h_primary_cnh,Rung 1 H: Primary-only C/N/H,primary_h_provisional_pending_triplicate_check,FALSE,FALSE,TRUE,0.6624065530410799,6,0.5043571428571428,0.6524301566123063,6,0.4714285714285714,-0.28000000000000025,0.7400000000000002,TRUE,rung1,5,3,FALSE,Do not prioritize for Stage 3.,rung1
r1_a_breast_cn,Rung 1 A: Breast-only C/N,baseline_cn_benchmark,TRUE,FALSE,FALSE,0.6703860174393071,7,0.5,0.6735494554301261,7,0.5,0.5300000000000002,0.23000000000000043,FALSE,rung1,4,5,FALSE,Do not prioritize for Stage 3.,rung1
r1_e_breast_cnh,Rung 1 E: Breast-only C/N/H,breast_h_provisional_pending_triplicate_check,TRUE,TRUE,FALSE,0.6703860174393071,7,0.5,0.6735494554301261,7,0.5,0.5300000000000002,0.23000000000000043,TRUE,rung1,5,4,FALSE,Do not prioritize for Stage 3.,rung1
r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,primary_h_provisional_pending_triplicate_check,TRUE,TRUE,TRUE,0.941829482050072,1,0.5404444444444444,0.93712850539117,1,0.6,-0.16999999999999993,0.15000000000000013,TRUE,rung2,2,1,TRUE,"Advance only conditionally, alongside the strongest non-H benchmark, because H evidence is provisional and primary H remains high-caution.",rung2
r2_d_breast_cnh_plus_paired_distance,Rung 2 D: Breast C/N/H + paired distance,primary_h_provisional_pending_triplicate_check,FALSE,TRUE,TRUE,1.0918459580270639,2,0.3294444444444445,1.1049834325841015,4,0.3055555555555556,0.18999999999999995,0.16999999999999993,TRUE,rung2,2,2,FALSE,Do not prioritize for Stage 3.,rung2
r2_a_breast_cn,Rung 2 A: Breast-only C/N,baseline_cn_benchmark,TRUE,FALSE,FALSE,1.0925081284389104,3,0.3338888888888889,1.0961398748900166,3,0.33333333333333337,0.20999999999999996,-0.0900000000000003,FALSE,rung2,1,4,TRUE,Advance to Stage 3 as the main non-H benchmark.,rung2
r2_b_breast_cnh,Rung 2 B: Breast-only C/N/H,breast_h_provisional_pending_triplicate_check,TRUE,TRUE,FALSE,1.0950747247279462,4,0.3256666666666667,1.095160778657442,2,0.33333333333333337,-0.22999999999999998,-0.22999999999999998,TRUE,rung2,2,3,FALSE,Do not prioritize for Stage 3.,rung2
