candidate_id,candidate_label,validation_layer,strategy_family,caution_level,metric,value,class
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,blocked_coordinate_cv,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,macro_brier,0.18770460037652575,overall
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,blocked_coordinate_cv,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,confidence_ece,0.17976693480007966,overall
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,blocked_coordinate_cv,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,one_vs_rest_brier,0.1888898824332485,resident
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,blocked_coordinate_cv,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,one_vs_rest_ece,0.1635263595502706,resident
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,blocked_coordinate_cv,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,one_vs_rest_brier,0.2016465524508858,NZ migrant
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,blocked_coordinate_cv,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,one_vs_rest_ece,0.140598000424448,NZ migrant
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,blocked_coordinate_cv,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,one_vs_rest_brier,0.17257736624544293,AU migrant
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,blocked_coordinate_cv,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,one_vs_rest_ece,0.1145043699864236,AU migrant
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,blocked_coordinate_cv,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,macro_brier,0.1806210342951898,overall
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,blocked_coordinate_cv,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,confidence_ece,0.16181883949671697,overall
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,blocked_coordinate_cv,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,one_vs_rest_brier,0.15969264166894542,resident
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,blocked_coordinate_cv,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,one_vs_rest_ece,0.16051496154432085,resident
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,blocked_coordinate_cv,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,one_vs_rest_brier,0.20306553736895505,NZ migrant
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,blocked_coordinate_cv,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,one_vs_rest_ece,0.07324768496344533,NZ migrant
