candidate_id,candidate_label,strategy_family,caution_level,uses_r1_upstream,uses_breast_h,uses_primary_h,uses_hard_or_soft_staging,validation_layer,split_id,repeat_id,fold_id,n_analysis,n_assessment,log_loss,balanced_accuracy,accuracy,brier,mean_top_prob,weak_support_rate
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,blocked_coordinate_cv,Fold1,NA,Fold1,44,12,0.8848592208344606,0.5,0.5,0.17509382425631795,0.48105439911849274,0.8333333333333334
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,blocked_coordinate_cv,Fold2,NA,Fold2,45,11,0.9729096227800079,0.5277777777777778,0.5454545454545454,0.20058966046348503,0.49176782387887297,0.5454545454545454
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,blocked_coordinate_cv,Fold3,NA,Fold3,45,11,1.032625700286108,0.6388888888888888,0.6363636363636364,0.2070032004470183,0.4249718235898469,0.8181818181818182
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,blocked_coordinate_cv,Fold4,NA,Fold4,45,11,0.845081438412437,0.7111111111111111,0.7272727272727273,0.168976230016725,0.5060991114868346,0.45454545454545453
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,blocked_coordinate_cv,Fold5,NA,Fold5,45,11,0.9488276169082753,0.6666666666666666,0.7272727272727273,0.1880065208918286,0.4259077069722043,1
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold1,NA,Fold1,44,12,0.887702896691632,0.5,0.5,0.18006678035717735,0.4891152115580094,0.6666666666666666
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold2,NA,Fold2,45,11,0.8609390785696428,0.8055555555555556,0.8181818181818182,0.1701732435749578,0.5058069957591361,0.5454545454545454
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold3,NA,Fold3,45,11,0.9998839765288744,0.5555555555555556,0.5454545454545454,0.20209270971059712,0.4794211815625117,0.6363636363636364
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold4,NA,Fold4,45,11,0.8796034279395895,0.6666666666666666,0.7272727272727273,0.1772994266972109,0.49249717347719824,0.6363636363636364
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold5,NA,Fold5,45,11,0.8874390989161735,0.5555555555555556,0.6363636363636364,0.17352339785764334,0.5143164840171827,0.36363636363636365
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat01__Fold1,Repeat01,Fold1,43,13,1.090218254965357,0.5333333333333333,0.5384615384615384,0.22137900970847357,0.5199968261539254,0.6153846153846154
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat01__Fold2,Repeat01,Fold2,43,13,0.9420491438690084,0.75,0.7692307692307693,0.18735905839652425,0.40194638186670223,1
