candidate_id,candidate_label,caution_level,sensitivity_only,validation_layer,split_id,repeat_id,fold_id,n_assessment,base_log_loss,uncertainty_log_loss,base_bal_accuracy,uncertainty_bal_accuracy,determinate_rate,indeterminate_rate,final_class_changed_rate,any_flip_rate,base_to_indeterminate_rate,boundary_cross_rate,mean_switch_rate,median_switch_rate,mean_abs_top_prob_shift,top_prob_shift_gt_0_05_rate
r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold1,NA,Fold1,12,0.4529855760987572,0.4568351429983096,0.875,0.75,0.5833333333333334,0.4166666666666667,0,0.6666666666666666,0.4166666666666667,0.4166666666666667,0.16,0.056999999999999995,0.01118085709134047,0
r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold2,NA,Fold2,11,0.38350946541785513,0.38908362908354144,0.9285714285714286,0.9285714285714286,0.8181818181818182,0.18181818181818182,0,0.45454545454545453,0.18181818181818182,0.18181818181818182,0.09636363636363636,0,0.009513757568912404,0
r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold3,NA,Fold3,11,0.554985008952658,0.5555337375722194,0.6071428571428572,0.6071428571428572,0.7272727272727273,0.2727272727272727,0,0.7272727272727273,0.2727272727272727,0.2727272727272727,0.0630909090909091,0.006,0.011114661334983521,0
r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold4,NA,Fold4,11,0.5269916694726974,0.5240490212653353,0.6166666666666667,0.6166666666666667,0.7272727272727273,0.2727272727272727,0,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.10218181818181818,0,0.009375107209281586,0
r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold5,NA,Fold5,11,0.5415988896356586,0.5439005772697214,0.9166666666666667,0.9166666666666667,0.7272727272727273,0.2727272727272727,0,0.8181818181818182,0.2727272727272727,0.2727272727272727,0.13127272727272726,0.03200000000000003,0.011385130134745736,0
r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat01__Fold1,Repeat01,Fold1,12,0.34750829909340897,0.35505010945469,0.9,1,0.6666666666666666,0.3333333333333333,0,0.5,0.3333333333333333,0.3333333333333333,0.12916666666666668,0.001,0.019224266182931903,0.16666666666666666
r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat01__Fold2,Repeat01,Fold2,12,0.48527685704243095,0.49019093766342053,0.8,0.8,0.75,0.25,0,0.6666666666666666,0.25,0.25,0.08433333333333334,0.022000000000000006,0.00607717837452936,0
r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat01__Fold3,Repeat01,Fold3,11,0.5367191580998277,0.5379858033433953,0.625,0.5,0.9090909090909091,0.09090909090909091,0,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.0810909090909091,0,0.00166567112335958,0
r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat01__Fold4,Repeat01,Fold4,11,0.6415145311150648,0.6385427143066171,0.7321428571428572,0.7321428571428572,0.6363636363636364,0.36363636363636365,0,0.6363636363636364,0.36363636363636365,0.36363636363636365,0.07472727272727273,0.0040000000000000036,0.007460020167671494,0
r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,paired_cn_benchmark,FALSE,repeated_stratified_cv,Repeat01__Fold5,Repeat01,Fold5,10,0.5524404953834083,0.5492181589405458,0.5833333333333333,0.5833333333333333,0.6,0.4,0,0.7,0.4,0.4,0.12200000000000001,0.022000000000000006,0.012142221534208786,0
