rung,candidate_id,candidate_label,validation_layer,metric,value,class
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,blocked_site_cv,brier,0.17833733177895048,migrant
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,blocked_site_cv,ece,0.12438751322167922,migrant
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,blocked_site_cv,calibration_intercept,0.09081119798814132,migrant
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,blocked_site_cv,calibration_slope,1.8672282397343516,migrant
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,leave_one_site_out_cv,brier,0.20353689178903359,migrant
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,leave_one_site_out_cv,ece,0.11593365292042783,migrant
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,leave_one_site_out_cv,calibration_intercept,0.20289746289770405,migrant
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,leave_one_site_out_cv,calibration_slope,1.6014172917483718,migrant
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,blocked_site_cv,brier,0.233002361542076,migrant
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,blocked_site_cv,ece,0.10089492575819005,migrant
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,blocked_site_cv,calibration_intercept,0.13795422160092968,migrant
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,blocked_site_cv,calibration_slope,0.6084728604827561,migrant
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,leave_one_site_out_cv,brier,0.22168826765311114,migrant
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,leave_one_site_out_cv,ece,0.1014157474120564,migrant
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,leave_one_site_out_cv,calibration_intercept,-0.006997990019119142,migrant
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,leave_one_site_out_cv,calibration_slope,1.235028461985565,migrant
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,blocked_site_cv,brier,0.2308690270362209,migrant
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,blocked_site_cv,ece,0.1416401484562658,migrant
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,blocked_site_cv,calibration_intercept,-0.16074925705134932,migrant
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,blocked_site_cv,calibration_slope,0.6149300826465166,migrant
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,leave_one_site_out_cv,brier,0.18663647529502542,migrant
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,leave_one_site_out_cv,ece,0.13342802139831816,migrant
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,leave_one_site_out_cv,calibration_intercept,-0.188393727019802,migrant
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,leave_one_site_out_cv,calibration_slope,1.2685223373538592,migrant
