rung,validation_layer,candidate_id,candidate_label,truth,predicted,n
Rung 1,blocked_site_cv,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,migrant,migrant,30
Rung 1,blocked_site_cv,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,migrant,resident,4
Rung 1,blocked_site_cv,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,resident,migrant,8
Rung 1,blocked_site_cv,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,resident,resident,14
Rung 1,blocked_site_cv,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,migrant,migrant,28
Rung 1,blocked_site_cv,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,migrant,resident,6
Rung 1,blocked_site_cv,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,resident,migrant,15
Rung 1,blocked_site_cv,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,resident,resident,7
Rung 1,blocked_site_cv,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,migrant,migrant,31
Rung 1,blocked_site_cv,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,migrant,resident,3
Rung 1,blocked_site_cv,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,resident,migrant,17
Rung 1,blocked_site_cv,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,resident,resident,5
Rung 1,leave_one_site_out_cv,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,migrant,migrant,29
Rung 1,leave_one_site_out_cv,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,migrant,resident,5
Rung 1,leave_one_site_out_cv,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,resident,migrant,11
Rung 1,leave_one_site_out_cv,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,resident,resident,11
Rung 1,leave_one_site_out_cv,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,migrant,migrant,29
Rung 1,leave_one_site_out_cv,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,migrant,resident,5
Rung 1,leave_one_site_out_cv,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,resident,migrant,18
Rung 1,leave_one_site_out_cv,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,resident,resident,4
Rung 1,leave_one_site_out_cv,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,migrant,migrant,29
Rung 1,leave_one_site_out_cv,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,migrant,resident,5
Rung 1,leave_one_site_out_cv,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,resident,migrant,13
