rung,candidate_id,candidate_label,model_type,candidate_group,caution_level,upstream_stage_label,downstream_stage_label,uses_primary_site_reference_upstream,uses_winter_reference_downstream,uses_r1_upstream,uses_breast_h,uses_primary_h,validation_layer,split_id,n_assessment,n_sites_assessment,assessment_sites,fold_design_note,rung2_all_classes_present,n_analysis,primary_reference_rows,primary_reference_sites,fit_status,log_loss,balanced_accuracy,accuracy,brier,mean_top_prob,weak_support_rate,ece,predictors_used
Rung 2,r2h_b_hybrid_siteaware_r1_then_breast_cnh,Rung 2 H: Site-aware R1 then breast C/N/H NZ-vs-AU,staged_soft_hybrid,exploratory_extension,siteaware_r1_primary_reference_then_non_siteaware_breast_cnh,Site-aware upstream R1: paired-contrast C/N + primary-site reference distance,Non-site-aware downstream migrant NZ-vs-AU model: breast C/N/H,TRUE,FALSE,TRUE,TRUE,FALSE,blocked_site_cv,Fold1,19,2,Motueka Spit|Tasman River,Recommended grouped site-block design. Every assessment fold retains all three Rung 2 classes.,TRUE,37,54,10,ok,1.291664135936056,0.4444444444444444,0.3157894736842105,0.25709838479203584,0.4793206386457177,0.631578947368421,0.20320807825024526,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn|normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast
Rung 2,r2h_b_hybrid_siteaware_r1_then_breast_cnh,Rung 2 H: Site-aware R1 then breast C/N/H NZ-vs-AU,staged_soft_hybrid,exploratory_extension,siteaware_r1_primary_reference_then_non_siteaware_breast_cnh,Site-aware upstream R1: paired-contrast C/N + primary-site reference distance,Non-site-aware downstream migrant NZ-vs-AU model: breast C/N/H,TRUE,FALSE,TRUE,TRUE,FALSE,blocked_site_cv,Fold2,13,2,Kaitorete|Rangipo Desert,Recommended grouped site-block design. Every assessment fold retains all three Rung 2 classes.,TRUE,43,58,10,ok,0.9166912001390757,0.4,0.46153846153846156,0.18301210807911106,0.5149438031892387,0.5384615384615384,0.124888959155276,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn|normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast
Rung 2,r2h_b_hybrid_siteaware_r1_then_breast_cnh,Rung 2 H: Site-aware R1 then breast C/N/H NZ-vs-AU,staged_soft_hybrid,exploratory_extension,siteaware_r1_primary_reference_then_non_siteaware_breast_cnh,Site-aware upstream R1: paired-contrast C/N + primary-site reference distance,Non-site-aware downstream migrant NZ-vs-AU model: breast C/N/H,TRUE,FALSE,TRUE,TRUE,FALSE,blocked_site_cv,Fold3,12,4,Cass River|Pisa Range|Tiwai Point|Napier,Recommended grouped site-block design. Every assessment fold retains all three Rung 2 classes.,TRUE,44,52,8,ok,1.004110683590647,0.5,0.5,0.20860847253697182,0.48202676917270393,0.75,0.2876336738615231,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn|normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast
Rung 2,r2h_b_hybrid_siteaware_r1_then_breast_cnh,Rung 2 H: Site-aware R1 then breast C/N/H NZ-vs-AU,staged_soft_hybrid,exploratory_extension,siteaware_r1_primary_reference_then_non_siteaware_breast_cnh,Site-aware upstream R1: paired-contrast C/N + primary-site reference distance,Non-site-aware downstream migrant NZ-vs-AU model: breast C/N/H,TRUE,FALSE,TRUE,TRUE,FALSE,blocked_site_cv,Fold4,12,3,Te Anau|Kaikoura|Porters Beach,Recommended grouped site-block design. Every assessment fold retains all three Rung 2 classes.,TRUE,44,60,9,ok,1.543945462926262,0,0,0.3015994793295769,0.46827534953428607,0.6666666666666666,0.46827534953428607,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn|normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast
Rung 2,r2h_b_hybrid_siteaware_r1_then_breast_cnh,Rung 2 H: Site-aware R1 then breast C/N/H NZ-vs-AU,staged_soft_hybrid,exploratory_extension,siteaware_r1_primary_reference_then_non_siteaware_breast_cnh,Site-aware upstream R1: paired-contrast C/N + primary-site reference distance,Non-site-aware downstream migrant NZ-vs-AU model: breast C/N/H,TRUE,FALSE,TRUE,TRUE,FALSE,leave_one_site_out_cv,Site__Cass.River,1,1,Cass River,LOSO split is very small and should be treated as a stress test rather than a stable performance estimate.,FALSE,55,68,11,ok,1.2820262341119546,0,0,0.285708744646576,0.553696622501224,0,0.553696622501224,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn|normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast
Rung 2,r2h_b_hybrid_siteaware_r1_then_breast_cnh,Rung 2 H: Site-aware R1 then breast C/N/H NZ-vs-AU,staged_soft_hybrid,exploratory_extension,siteaware_r1_primary_reference_then_non_siteaware_breast_cnh,Site-aware upstream R1: paired-contrast C/N + primary-site reference distance,Non-site-aware downstream migrant NZ-vs-AU model: breast C/N/H,TRUE,FALSE,TRUE,TRUE,FALSE,leave_one_site_out_cv,Site__Kaikoura,6,1,Kaikoura,LOSO split is site-pure or site-imbalanced and does not represent all Rung 2 classes.,FALSE,50,67,11,ok,1.0508491796816601,0.375,0.5,0.21100516006400044,0.3807649503520489,1,0.2767967858874293,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn|normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast
Rung 2,r2h_b_hybrid_siteaware_r1_then_breast_cnh,Rung 2 H: Site-aware R1 then breast C/N/H NZ-vs-AU,staged_soft_hybrid,exploratory_extension,siteaware_r1_primary_reference_then_non_siteaware_breast_cnh,Site-aware upstream R1: paired-contrast C/N + primary-site reference distance,Non-site-aware downstream migrant NZ-vs-AU model: breast C/N/H,TRUE,FALSE,TRUE,TRUE,FALSE,leave_one_site_out_cv,Site__Kaitorete,10,1,Kaitorete,NA,TRUE,46,63,11,ok,0.9796273313554642,0.33333333333333337,0.5,0.19314041240705845,0.5111728657773549,0.5,0.205108054432568,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn|normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast
Rung 2,r2h_b_hybrid_siteaware_r1_then_breast_cnh,Rung 2 H: Site-aware R1 then breast C/N/H NZ-vs-AU,staged_soft_hybrid,exploratory_extension,siteaware_r1_primary_reference_then_non_siteaware_breast_cnh,Site-aware upstream R1: paired-contrast C/N + primary-site reference distance,Non-site-aware downstream migrant NZ-vs-AU model: breast C/N/H,TRUE,FALSE,TRUE,TRUE,FALSE,leave_one_site_out_cv,Site__Motueka.Spit,6,1,Motueka Spit,LOSO split is site-pure or site-imbalanced and does not represent all Rung 2 classes.,FALSE,50,67,11,ok,0.7641651024434635,0.5,0.8333333333333334,0.14136020491465695,0.5339627776549019,0.16666666666666666,0.2993705556784314,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn|normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast
Rung 2,r2h_b_hybrid_siteaware_r1_then_breast_cnh,Rung 2 H: Site-aware R1 then breast C/N/H NZ-vs-AU,staged_soft_hybrid,exploratory_extension,siteaware_r1_primary_reference_then_non_siteaware_breast_cnh,Site-aware upstream R1: paired-contrast C/N + primary-site reference distance,Non-site-aware downstream migrant NZ-vs-AU model: breast C/N/H,TRUE,FALSE,TRUE,TRUE,FALSE,leave_one_site_out_cv,Site__Napier,3,1,Napier,LOSO split is site-pure or site-imbalanced and does not represent all Rung 2 classes.,FALSE,53,68,11,ok,1.1615979674555281,0,0,0.23720432837449115,0.3875329639228144,1,0.38753296392281433,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn|normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast
Rung 2,r2h_b_hybrid_siteaware_r1_then_breast_cnh,Rung 2 H: Site-aware R1 then breast C/N/H NZ-vs-AU,staged_soft_hybrid,exploratory_extension,siteaware_r1_primary_reference_then_non_siteaware_breast_cnh,Site-aware upstream R1: paired-contrast C/N + primary-site reference distance,Non-site-aware downstream migrant NZ-vs-AU model: breast C/N/H,TRUE,FALSE,TRUE,TRUE,FALSE,leave_one_site_out_cv,Site__Pisa.Range,1,1,Pisa Range,LOSO split is very small and should be treated as a stress test rather than a stable performance estimate.,FALSE,55,69,11,ok,1.2382648421320712,0,0,0.2557182026143532,0.42841679080004,1,0.42841679080004,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn|normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast
