validation_layer,split_id,n_assessment,n_sites_assessment,assessment_sites,candidate_id,candidate_label,model_type,candidate_group,caution_level,fit_status,n_analysis,log_loss,balanced_accuracy,accuracy,brier,selected_lambda,ece,calibration_intercept,calibration_slope,mean_top_prob,weak_support_rate,indeterminate_rate,au_sensitivity,au_specificity,au_ppv,au_npv,predictors_used,fit_message
blocked_site_cv,Fold1,19,2,Motueka Spit|Tasman River,au_non_au_si_a_breast_cnh,South-Island-only AU vs non_AU A: Breast-only C/N/H,ridge_binomial,direct_binary_baseline,south_island_breast_cnh_binary_baseline,ok,31,1.041336638145451,0.5,0.42105263157894735,0.39229968782518204,94.56722348612915,0.3853989813242784,1.7455700867586796,NA,0.8064516129032258,0,0,0,1,NA,0.42105263157894735,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast,NA
blocked_site_cv,Fold2,10,1,Kaitorete,au_non_au_si_a_breast_cnh,South-Island-only AU vs non_AU A: Breast-only C/N/H,ridge_binomial,direct_binary_baseline,south_island_breast_cnh_binary_baseline,ok,40,0.65979043175474406,0.5,0.7,0.23273062482497167,0.40637694719508166,0.17260570605002593,-0.25082260523648797,-6.528992230321253,0.6453222813210779,0,1,0,1,NA,0.7,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast,NA
blocked_site_cv,Fold3,9,3,Cass River|Pisa Range|Tiwai Point,au_non_au_si_a_breast_cnh,South-Island-only AU vs non_AU A: Breast-only C/N/H,ridge_binomial,direct_binary_baseline,south_island_breast_cnh_binary_baseline,ok,41,0.7240434453633233,0.35714285714285715,0.5555555555555556,0.25793515342239987,0.40826001697212583,0.3616015576264895,-0.8930669896502307,-2.501439823273832,0.6070107643340551,0,0.8888888888888888,0,0.7142857142857143,0,0.7142857142857143,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast,NA
blocked_site_cv,Fold4,12,3,Kaikoura|Porters Beach|Te Anau,au_non_au_si_a_breast_cnh,South-Island-only AU vs non_AU A: Breast-only C/N/H,ridge_binomial,direct_binary_baseline,south_island_breast_cnh_binary_baseline,ok,38,0.5730815172946144,0.5,0.9166666666666666,0.19044321329639888,171.6819043109822,0.33771929824561403,-2.079441541679763,NA,0.5789473684210527,0,1,0,1,NA,0.9166666666666666,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast,NA
leave_one_site_out_cv,Site__Cass.River,1,1,Cass River,au_non_au_si_a_breast_cnh,South-Island-only AU vs non_AU A: Breast-only C/N/H,ridge_binomial,direct_binary_baseline,south_island_breast_cnh_binary_baseline,ok,49,1.8550615331497762,0,0,0.7115878792412232,0.27001962567030885,0.8435566840712148,24.251001911357942,NA,0.8435566840712148,0,0,0,NA,NA,0,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast,NA
leave_one_site_out_cv,Site__Kaikoura,6,1,Kaikoura,au_non_au_si_a_breast_cnh,South-Island-only AU vs non_AU A: Breast-only C/N/H,ridge_binomial,direct_binary_baseline,south_island_breast_cnh_binary_baseline,ok,44,0.48835276791393223,1,1,0.14927685950413228,170.388155809256,0.3863636363636364,-24.103445001560907,NA,0.6136363636363635,0,1,NA,1,NA,1,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast,NA
leave_one_site_out_cv,Site__Kaitorete,10,1,Kaitorete,au_non_au_si_a_breast_cnh,South-Island-only AU vs non_AU A: Breast-only C/N/H,ridge_binomial,direct_binary_baseline,south_island_breast_cnh_binary_baseline,ok,40,0.6164946786143213,0.5,0.7,0.2125,188.6234700338341,0.04999999999999999,-0.22825865197981005,NA,0.65,0,1,0,1,NA,0.7,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast,NA
leave_one_site_out_cv,Site__Motueka.Spit,6,1,Motueka Spit,au_non_au_si_a_breast_cnh,South-Island-only AU vs non_AU A: Breast-only C/N/H,ridge_binomial,direct_binary_baseline,south_island_breast_cnh_binary_baseline,ok,44,0.48835276791393223,1,1,0.14927685950413228,107.81084114954527,0.3863636363636364,-24.103445001560907,NA,0.6136363636363635,0,1,NA,1,NA,1,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast,NA
leave_one_site_out_cv,Site__Pisa.Range,1,1,Pisa Range,au_non_au_si_a_breast_cnh,South-Island-only AU vs non_AU A: Breast-only C/N/H,ridge_binomial,direct_binary_baseline,south_island_breast_cnh_binary_baseline,ok,49,1.1192315758708453,0,0,0.453561016243232,135.8227809319589,0.673469387755102,23.289987395743324,NA,0.673469387755102,0,1,0,NA,NA,0,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast,NA
leave_one_site_out_cv,Site__Porters.Beach,2,1,Porters Beach,au_non_au_si_a_breast_cnh,South-Island-only AU vs non_AU A: Breast-only C/N/H,ridge_binomial,direct_binary_baseline,south_island_breast_cnh_binary_baseline,ok,48,0.4372138064227448,1,1,0.1254340277777778,138.5241726226599,0.3541666666666667,-22.965294663021798,NA,0.6458333333333333,0,1,NA,1,NA,1,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast,NA
