"specimen_id","feather_type","source_metadata_row_ids","source_metadata_row_count","source_sheet_rows","museum","species","specimen_id_raw_examples","feather_type_raw_examples","general_collection_location","specific_collection_location","location_label","collection_date_raw","collection_month","collection_year","sex","notes","geo_region","geo_region_bin","metadata_harmonization_flags","coordinate_row_ids","lon","lat","geo_region_checkpoint","geo_region_bin_checkpoint","coordinate_source","coordinate_collection_date","coordinate_month","coordinate_year","coordinate_specific_collection_location","coordinate_match_found","coordinate_specific_location_matches_metadata","coordinate_collection_date_matches_metadata"
"11572","Breast","museum_meta_063",1,"64","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","11572 - breast","Breast","Australia, Victoria","Western Port (38 15 S, 145 17 E)","Western Port (38 15 S, 145 17 E), Australia, Victoria","1861",2,1861,"Unknown",,"Australia",1,,,,,,,,,,,,FALSE,,
"11580","Breast","museum_meta_044",1,"45","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","11580 - breast","Breast","Victoria, Australia","Port Phillip Bay, Queenscliff (38 16 S, 144 39 E)","Port Phillip Bay, Queenscliff (38 16 S, 144 39 E), Victoria, Australia","19/01/1884",1,1884,"Unknown",,"Australia",1,,"museum_coord_1",144.6601221,-38.2690339,"Australia",1,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","19/01/1884",1,1884,"Port Phillip Bay, Queenscliff (38 16 S, 144 39 E)",TRUE,TRUE,TRUE
"14944","Breast","museum_meta_053",1,"54","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","14944 - breast","Breast","Victoria, Australia","Fresh Lake, near top of dam (36 26 S, 144 49 E)","Fresh Lake, near top of dam (36 26 S, 144 49 E), Victoria, Australia","28344",8,1977,"Male",,"Australia",1,,"museum_coord_2",142.3157801,-37.5864789,"Australia",1,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","28344",8,1977,"Fresh Lake, near top of dam (36 26 S, 144 49 E)",TRUE,TRUE,TRUE
"15201","Breast","museum_meta_051",1,"52","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","15201 - breast","Breast","Victoria, Australia","Port Phillip Bay, Queenscliff (38 16 S, 144 39 E)","Port Phillip Bay, Queenscliff (38 16 S, 144 39 E), Victoria, Australia","32118",12,1987,"Male",,"Australia",1,,"museum_coord_3",144.6642029,-37.8997197,"Australia",1,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","29/05/1988",5,1988,"Werribee (37 50 S, 144 34 E)",TRUE,FALSE,FALSE
"15202","Breast","museum_meta_059",1,"60","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","15202 - breast","Breast","Victoria, Australia","Western Port, Yallock Creek (38 12 S, 145 32 E)","Western Port, Yallock Creek (38 12 S, 145 32 E), Victoria, Australia","28/08/1988",8,1988,"Male",,"Australia",1,,"museum_coord_4",145.484897529636,-38.230407699365,"Australia",1,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","28/08/1988",8,1988,"Western Port, Yallock Creek (38 12 S, 145 32 E)",TRUE,TRUE,TRUE
"15209","Breast","museum_meta_046",1,"47","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","15209 - breast","Breast","Victoria, Australia","Western Port, Stockyard Point (38 25 S, 145 23 E)","Western Port, Stockyard Point (38 25 S, 145 23 E), Victoria, Australia","26/06/1988",6,1988,"Female",,"Australia",1,,"museum_coord_5",145.5167602,-38.3376816,"Australia",1,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","26/06/1988",6,1988,"Western Port, Stockyard Point (38 25 S, 145 23 E)",TRUE,TRUE,TRUE
"15210","Breast","museum_meta_045",1,"46","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","15210 - breast","Breast","Victoria, Australia","Werribee (37 50 S, 144 34 E)","Werribee (37 50 S, 144 34 E), Victoria, Australia","29/05/1988",5,1988,"Male",,"Australia",1,,"museum_coord_6",144.6642029,-37.8997197,"Australia",1,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","29/05/1988",5,1988,"Werribee (37 50 S, 144 34 E)",TRUE,TRUE,TRUE
"15261","Breast","museum_meta_050",1,"51","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","15261 - breast","Breast","Victoria, Australia","Port Phillip Bay, Queenscliff, Sand Is (38 16 S, 144 40 E)","Port Phillip Bay, Queenscliff, Sand Is (38 16 S, 144 40 E), Victoria, Australia","31/07/1988",7,1988,"Female",,"Australia",1,,"museum_coord_7",144.6601221,-38.2690339,"Australia",1,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","31/07/1988",7,1988,"Port Phillip Bay, Queenscliff, Sand Is (38 16 S, 144 40 E)",TRUE,TRUE,TRUE
"16882","Breast","museum_meta_061",1,"62","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","16882 - breast","Breast","Tasmania, Australia","Mona Vale (42 05 S, 147 29 E)","Mona Vale (42 05 S, 147 29 E), Tasmania, Australia","1887",3,1887,"Female",,"Australia",1,,,,,,,,,,,,FALSE,,
"16883","Breast","museum_meta_062",1,"63","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","16883 - breast","Breast","Tasmania, Australia","Mona Vale (42 05 S, 147 29 E)","Mona Vale (42 05 S, 147 29 E), Tasmania, Australia","1887",3,1887,"Female",,"Australia",1,,,,,,,,,,,,FALSE,,
