"dataset","variable","n_total","n_missing","prop_missing"
"museum_measurements_long","value",221,0,0
"museum_measurements_long","collection_month",221,6,0.0271493212669683
"museum_measurements_long","collection_year",221,0,0
"museum_measurements_long","lon",221,0,0
"museum_measurements_long","lat",221,0,0
"museum_specimen_region_isotopes_wide","value_mean_normalised_d13c",63,13,0.206349206349206
"museum_specimen_region_isotopes_wide","value_mean_normalised_d15n",63,13,0.206349206349206
"museum_specimen_region_isotopes_wide","value_mean_normalised_d18o",63,29,0.46031746031746
"museum_specimen_region_isotopes_wide","value_mean_normalised_d2h",63,29,0.46031746031746
"museum_specimen_region_isotopes_wide","collection_month",63,1,0.0158730158730159
"museum_specimen_region_isotopes_wide","lon",63,0,0
"museum_specimen_region_isotopes_wide","lat",63,0,0
"museum_screening_ready_breast_homogenate_winter","value_mean_normalised_d13c",35,11,0.314285714285714
"museum_screening_ready_breast_homogenate_winter","value_mean_normalised_d15n",35,11,0.314285714285714
"museum_screening_ready_breast_homogenate_winter","value_mean_normalised_d18o",35,12,0.342857142857143
"museum_screening_ready_breast_homogenate_winter","value_mean_normalised_d2h",35,12,0.342857142857143
"live_phenotypes_canonical","sampling_location_general",277,0,0
"live_phenotypes_canonical","sampling_location_specific",277,0,0
"live_phenotypes_canonical","sampling_site_label",277,0,0
"live_phenotypes_canonical","status",277,0,0
"live_phenotypes_canonical","sex",277,0,0
"live_cn_measurements_by_sample","adjudicated_normalised_d13c",306,149,0.486928104575163
"live_cn_measurements_by_sample","adjudicated_normalised_d15n",306,149,0.486928104575163
"live_cn_measurements_by_sample","adjudicated_normalised_d2h",306,158,0.516339869281046
"live_cn_measurements_by_sample","sampling_location_specific",306,0,0
"live_cn_measurements_by_sample","sampling_site_label",306,0,0
"live_cn_measurements_by_sample","status",306,0,0
"live_cn_measurements_by_sample","sex",306,0,0
"live_cn_paired_by_ring","normalised_d13c_Breast",74,0,0
"live_cn_paired_by_ring","normalised_d13c_Primary",74,1,0.0135135135135135
"live_cn_paired_by_ring","normalised_d15n_Breast",74,0,0
"live_cn_paired_by_ring","normalised_d15n_Primary",74,1,0.0135135135135135
"live_cn_paired_by_ring","normalised_d2h_Breast",74,1,0.0135135135135135
"live_cn_paired_by_ring","normalised_d2h_Primary",74,1,0.0135135135135135
"live_cn_paired_by_ring","sampling_location_specific",74,0,0
"live_cn_paired_by_ring","sampling_site_label",74,0,0
"live_cn_paired_by_ring","status",74,0,0
"live_cn_paired_by_ring","sex",74,0,0
"live_cn_paired_by_ring_strict","normalised_d13c_Breast",74,0,0
"live_cn_paired_by_ring_strict","normalised_d13c_Primary",74,1,0.0135135135135135
"live_cn_paired_by_ring_strict","normalised_d15n_Breast",74,0,0
"live_cn_paired_by_ring_strict","normalised_d15n_Primary",74,1,0.0135135135135135
"live_cn_paired_by_ring_strict","normalised_d2h_Breast",74,1,0.0135135135135135
"live_cn_paired_by_ring_strict","normalised_d2h_Primary",74,1,0.0135135135135135
"live_cn_paired_by_ring_strict","sampling_location_specific",74,0,0
"live_cn_paired_by_ring_strict","sampling_site_label",74,0,0
"live_cn_paired_by_ring_strict","status",74,0,0
"live_cn_paired_by_ring_strict","sex",74,0,0
"live_cn_paired_by_ring_sensitivity","normalised_d13c_Breast",74,0,0
"live_cn_paired_by_ring_sensitivity","normalised_d13c_Primary",74,1,0.0135135135135135
"live_cn_paired_by_ring_sensitivity","normalised_d15n_Breast",74,0,0
"live_cn_paired_by_ring_sensitivity","normalised_d15n_Primary",74,1,0.0135135135135135
"live_cn_paired_by_ring_sensitivity","normalised_d2h_Breast",74,1,0.0135135135135135
"live_cn_paired_by_ring_sensitivity","normalised_d2h_Primary",74,1,0.0135135135135135
"live_cn_paired_by_ring_sensitivity","sampling_location_specific",74,0,0
"live_cn_paired_by_ring_sensitivity","sampling_site_label",74,0,0
"live_cn_paired_by_ring_sensitivity","status",74,0,0
"live_cn_paired_by_ring_sensitivity","sex",74,0,0
