sampling_site_label,sampling_location_specific,sampling_location_general,reference_object,grouping_variable,contributor_source_table,n_rings_total,n_labelled_rings,n_unknown_status_rings,n_with_d13c,n_with_d15n,n_with_d2h,mean_longitude_capture,mean_latitude_capture,mean_normalised_d13c,mean_normalised_d15n,mean_normalised_d2h,var_normalised_d13c,var_normalised_d15n,var_normalised_d2h,sd_normalised_d13c,sd_normalised_d15n,sd_normalised_d2h,source_rings,source_phenotype_row_ids,source_measurement_ids,contributor_status_values
Tasman River,"Tasman River, Mt. Cook National Park","South Island, New Zealand",live_primary_breeding_site,sampling_site_label,live_cn_tissue_summary.csv,13,13,0,13,13,13,170.36650015384615,-43.53234,-23.148560670211708,4.1409232726813885,-22.061620680489327,0.41724862757039366,1.8039449452953964,56.26773964684883,0.6459478520518461,1.3431101761565938,7.501182549894972,CP16533|CP16534|CP16536|CP16655|CP16656|CP16815|CP19311|CP19312|CP19314|CP19340|CP19365|CP19366|CP19368,live_pheno_004|live_pheno_021|live_pheno_005|live_pheno_022|live_pheno_049|live_pheno_059|live_pheno_008|live_pheno_025|live_pheno_009|live_pheno_026|live_pheno_011|live_pheno_028|live_pheno_054|live_pheno_064|live_pheno_012|live_pheno_029|live_pheno_013|live_pheno_030|live_pheno_014|live_pheno_031|live_pheno_015|live_pheno_032|live_pheno_016|live_pheno_033|live_pheno_017|live_pheno_034,live_measurement_0047|live_measurement_0048|live_measurement_0337|live_measurement_0051|live_measurement_0052|live_measurement_0339|live_measurement_0055|live_measurement_0056|live_measurement_0341|live_measurement_0095|live_measurement_0096|live_measurement_0360|live_measurement_0099|live_measurement_0100|live_measurement_0362|live_measurement_0145|live_measurement_0146|live_measurement_0384|live_measurement_0201|live_measurement_0203|live_measurement_0202|live_measurement_0204|live_measurement_0410|live_measurement_0207|live_measurement_0208|live_measurement_0412|live_measurement_0211|live_measurement_0212|live_measurement_0414|live_measurement_0219|live_measurement_0220|live_measurement_0418|live_measurement_0315|live_measurement_0316|live_measurement_0428|live_measurement_0241|live_measurement_0242|live_measurement_0430|live_measurement_0245|live_measurement_0246|live_measurement_0432,AU migrant|SI migrant
Kaitorete,"Kaitorete Spit, Canterbury","South Island, New Zealand",live_primary_breeding_site,sampling_site_label,live_cn_tissue_summary.csv,10,10,0,10,10,10,172.5791777,-43.8345617,-21.66421240160939,13.069146113207061,-24.404090285125996,1.8090351920075365,2.0217723775455436,277.35815204845824,1.3450037888450488,1.4218904238884034,16.654073136877305,CP16409|CP16446|CP16507|CP16627|CP16628|CP16642|CP16643|CP16693|CP19346|CP19350,live_pheno_069|live_pheno_091|live_pheno_002|live_pheno_019|live_pheno_073|live_pheno_095|live_pheno_075|live_pheno_097|live_pheno_076|live_pheno_098|live_pheno_006|live_pheno_023|live_pheno_007|live_pheno_024|live_pheno_052|live_pheno_062|live_pheno_081|live_pheno_103|live_pheno_056|live_pheno_066,live_measurement_0011|live_measurement_0012|live_measurement_0322|live_measurement_0019|live_measurement_0020|live_measurement_0324|live_measurement_0037|live_measurement_0038|live_measurement_0333|live_measurement_0071|live_measurement_0072|live_measurement_0347|live_measurement_0075|live_measurement_0076|live_measurement_0349|live_measurement_0083|live_measurement_0084|live_measurement_0353|live_measurement_0087|live_measurement_0088|live_measurement_0356|live_measurement_0137|live_measurement_0138|live_measurement_0380|live_measurement_0223|live_measurement_0224|live_measurement_0420|live_measurement_0227|live_measurement_0229|live_measurement_0228|live_measurement_0230|live_measurement_0422,resident|AU migrant|SI migrant
Tiwai Point,"Tiwai Point, Canterbury","South Island, New Zealand",live_primary_breeding_site,sampling_site_label,live_cn_tissue_summary.csv,7,7,0,7,7,7,168.43018471428573,-46.60567014285714,-22.683025047534958,7.434972100686724,-13.839606561642276,1.4122446583464008,1.8925199395418912,45.74583781516134,1.188379004504203,1.37568889635044,6.7635669446795115,CP16784|CP17010|CP17011|CP19915|CP19921|CP19922|CP19923,live_pheno_078|live_pheno_100|live_pheno_080|live_pheno_102|live_pheno_053|live_pheno_063|live_pheno_058|live_pheno_068|live_pheno_086|live_pheno_108|live_pheno_087|live_pheno_109|live_pheno_088|live_pheno_110,live_measurement_0141|live_measurement_0142|live_measurement_0382|live_measurement_0183|live_measurement_0185|live_measurement_0184|live_measurement_0186|live_measurement_0402|live_measurement_0189|live_measurement_0190|live_measurement_0404|live_measurement_0269|live_measurement_0270|live_measurement_0444|live_measurement_0273|live_measurement_0274|live_measurement_0446|live_measurement_0277|live_measurement_0278|live_measurement_0448|live_measurement_0281|live_measurement_0282|live_measurement_0450,resident|SI migrant
Kaikoura,"Kaikoura, Canterbury","South Island, New Zealand",live_primary_breeding_site,sampling_site_label,live_cn_tissue_summary.csv,6,6,0,6,6,6,173.67077433333333,-42.405933999999995,-15.498915746698566,14.3788483772465,-16.20668477182163,3.5059830630799333,1.9078548443754262,32.877733179974435,1.87242705147088,1.381251188008693,5.733910810256333,CP16140|CP16461|CP16470|CP16609|CP16906|CP9059,live_pheno_035|live_pheno_042|live_pheno_070|live_pheno_092|live_pheno_071|live_pheno_093|live_pheno_050|live_pheno_060|live_pheno_079|live_pheno_101|live_pheno_090|live_pheno_112,live_measurement_0007|live_measurement_0008|live_measurement_0320|live_measurement_0023|live_measurement_0024|live_measurement_0327|live_measurement_0029|live_measurement_0030|live_measurement_0329|live_measurement_0065|live_measurement_0066|live_measurement_0345|live_measurement_0149|live_measurement_0150|live_measurement_0386|live_measurement_0311|live_measurement_0312|live_measurement_0464,NI migrant|resident|SI migrant
Motueka Spit,"Motueka Spit, Tasman Bay","South Island, New Zealand",live_primary_breeding_site,sampling_site_label,live_cn_tissue_summary.csv,6,6,0,6,6,6,173.0321646666667,-41.1208975,-16.147693469512202,11.467888014190477,-13.098578649117034,5.1974248394527605,1.6294442386369474,81.84335132059385,2.2797861389728555,1.2764968619769292,9.046731526943521,CP16501|CP16543|CP16652|CP19360|CP19361|CP19371,live_pheno_072|live_pheno_094|live_pheno_074|live_pheno_096|live_pheno_077|live_pheno_099|live_pheno_057|live_pheno_067|live_pheno_082|live_pheno_104|live_pheno_083|live_pheno_105,live_measurement_0033|live_measurement_0034|live_measurement_0331|live_measurement_0059|live_measurement_0061|live_measurement_0060|live_measurement_0062|live_measurement_0343|live_measurement_0091|live_measurement_0092|live_measurement_0358|live_measurement_0233|live_measurement_0234|live_measurement_0424|live_measurement_0237|live_measurement_0238|live_measurement_0426|live_measurement_0249|live_measurement_0250|live_measurement_0434,resident|SI migrant
Cass River,"Cass River, Canterbury","South Island, New Zealand",live_primary_breeding_site,sampling_site_label,live_cn_tissue_summary.csv,5,1,4,5,5,5,170.4792276,-43.8749234,-23.453636183441958,8.433910271410626,-46.92336329214152,0.13659585207742234,0.47847830413134956,366.8730693031791,0.3695887607563606,0.6917212618760172,19.15393090995107,CP16529|CP19307|CP19308|CP19902|CP19903,live_pheno_003|live_pheno_020|live_pheno_122|live_pheno_140|live_pheno_123|live_pheno_141|live_pheno_124|live_pheno_142|live_pheno_125|live_pheno_143,live_measurement_0041|live_measurement_0042|live_measurement_0335|live_measurement_0193|live_measurement_0194|live_measurement_0406|live_measurement_0197|live_measurement_0198|live_measurement_0408|live_measurement_0253|live_measurement_0254|live_measurement_0436|live_measurement_0257|live_measurement_0258|live_measurement_0438,AU migrant|unknown
Napier,"Napier, Hawkes Bay","South Island, New Zealand",live_primary_breeding_site,sampling_site_label,live_cn_tissue_summary.csv,5,3,2,5,5,5,176.912648392343,-39.52583540772622,-21.918385707967058,11.102610031008446,-9.922447759887064,2.860565041177263,2.6593317540098025,357.1869313918756,1.6913205022044944,1.6307457662093754,18.899389709508494,CP16958|CP16961|CP16962|CP16990|CP19931,live_pheno_039|live_pheno_046|live_pheno_120|live_pheno_138|live_pheno_121|live_pheno_139|live_pheno_040|live_pheno_047|live_pheno_041|live_pheno_048,live_measurement_0165|live_measurement_0166|live_measurement_0394|live_measurement_0169|live_measurement_0170|live_measurement_0396|live_measurement_0175|live_measurement_0176|live_measurement_0398|live_measurement_0179|live_measurement_0180|live_measurement_0400|live_measurement_0285|live_measurement_0286|live_measurement_0452,NI migrant|unknown
Old Man Range,"Old Man Range, Otago","South Island, New Zealand",live_primary_breeding_site,sampling_site_label,live_cn_tissue_summary.csv,5,0,5,5,5,5,169.2119462136178,-45.343885011971,-22.98972068510062,5.002498661129494,-36.66725174613222,0.07238489804669543,0.26438327774019377,56.849778442745865,0.26904441649418304,0.5141821445170901,7.5398792061110544,CP16670|CP16671|CP16677|CP16678|CP16686,live_pheno_113|live_pheno_131|live_pheno_114|live_pheno_132|live_pheno_115|live_pheno_133|live_pheno_116|live_pheno_134|live_pheno_119|live_pheno_137,live_measurement_0107|live_measurement_0108|live_measurement_0366|live_measurement_0111|live_measurement_0112|live_measurement_0368|live_measurement_0115|live_measurement_0116|live_measurement_0370|live_measurement_0119|live_measurement_0120|live_measurement_0372|live_measurement_0131|live_measurement_0132|live_measurement_0378,unknown
Rangipo Desert,"Rangipo Desert, Tongariro National Park","South Island, New Zealand",live_primary_breeding_site,sampling_site_label,live_cn_tissue_summary.csv,5,3,2,5,5,5,175.7186076189182,-39.32399540214996,-24.55001946700392,4.508619856439034,-22.19918943224888,0.1258055696967784,2.3265808571330107,134.80855981177086,0.3546908085879565,1.5253133635856635,11.610708841917054,CP16681|CP16685|CP16938|CP16945|CP16953,live_pheno_117|live_pheno_135|live_pheno_118|live_pheno_136|live_pheno_036|live_pheno_043|live_pheno_037|live_pheno_044|live_pheno_038|live_pheno_045,live_measurement_0123|live_measurement_0124|live_measurement_0374|live_measurement_0127|live_measurement_0128|live_measurement_0376|live_measurement_0153|live_measurement_0154|live_measurement_0388|live_measurement_0157|live_measurement_0158|live_measurement_0390|live_measurement_0161|live_measurement_0162|live_measurement_0392,unknown|NI migrant
Te Anau,"Te Anau, Southland","South Island, New Zealand",live_primary_breeding_site,sampling_site_label,live_cn_tissue_summary.csv,5,4,1,5,5,5,167.745559,-45.4142264,-22.96865058548588,8.331503451392736,-42.93206193471598,3.4379588499287044,0.10349576023443073,568.7388425809576,1.8541733602683177,0.32170756943912704,23.848246111212404,04258275|CP19907|CP19908|CP19983|CP19984,live_pheno_001|live_pheno_018|live_pheno_084|live_pheno_106|live_pheno_085|live_pheno_107|live_pheno_089|live_pheno_111|live_pheno_130|live_pheno_148,live_measurement_0003|live_measurement_0004|live_measurement_0318|live_measurement_0261|live_measurement_0262|live_measurement_0440|live_measurement_0265|live_measurement_0266|live_measurement_0442|live_measurement_0303|live_measurement_0304|live_measurement_0460|live_measurement_0307|live_measurement_0308|live_measurement_0462,AU migrant|resident|unknown
