rung,role,candidate_id,candidate_label,validation_layer,uncertainty_log_loss,uncertainty_bal_accuracy,indeterminate_rate,mean_switch_rate,brier_or_macro_brier,ece
Rung 1,best-supported operational model,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,Repeated stratified CV,0.5124038438528995,0.7354285714285714,0.28136363636363637,0.08726084848484848,0.17274320236475765,0.13954023048324246
Rung 1,best-supported operational model,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,Blocked coordinate CV,0.4938804216378254,0.7638095238095238,0.2833333333333333,0.11058181818181818,0.1820940911333852,0.19457546221722047
Rung 1,secondary non-H comparator,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,Repeated stratified CV,0.5333265919338955,0.6739285714285714,0.2784242424242424,0.0935619393939394,0.1788355822610402,0.1408503789642169
Rung 1,secondary non-H comparator,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,Blocked coordinate CV,0.5093588895044305,0.7188095238095238,0.37272727272727274,0.10167575757575756,0.17525240731896838,0.18404894929170304
Rung 2,non-H benchmark,r2_a_breast_cn,Rung 2 A: Breast-only C/N,Repeated stratified CV,1.094345452470176,0.3335555555555556,1,0.00225784615384615,0.22125200870231737,0.01957107176197124
Rung 2,non-H benchmark,r2_a_breast_cn,Rung 2 A: Breast-only C/N,Blocked coordinate CV,1.095160778657442,0.33333333333333337,1,0,0.22148499181327463,0.03210678210678211
Rung 2,co-leading direct candidate,r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,Repeated stratified CV,0.9614142148810902,0.5422222222222223,0.711076923076923,0.07833230769230769,0.19265097098840572,0.12449709798914686
Rung 2,co-leading direct candidate,r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,Blocked coordinate CV,0.9210232027639949,0.5888888888888889,0.693939393939394,0.06117878787878788,0.18327766713144697,0.13705215245669825
Rung 2,co-leading staged candidate (avoids primary H),r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,Repeated stratified CV,0.9240598319009924,0.5305555555555556,0.6273846153846154,0.06355507692307692,0.1851789087291549,0.11109945657166093
Rung 2,co-leading staged candidate (avoids primary H),r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,Blocked coordinate CV,0.8990106159364221,0.6422222222222222,0.6045454545454545,0.0830969696969697,0.179724915981066,0.19724829221858628
