specimen_id,geo_region_bin,collection_year,collection_month,lon,lat,has_d13c,has_d15n,has_d18o,has_d2h,has_all_4_isotopes,has_core_3_isotopes
14944,1,1977,8,142.3157801,-37.5864789,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
15202,1,1988,8,145.484897529636,-38.230407699365,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
15209,1,1988,6,145.5167602,-38.3376816,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
15210,1,1988,5,144.6642029,-37.8997197,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
15261,1,1988,7,144.6601221,-38.2690339,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
16885,1,1887,7,147.4872048,-42.0801398,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
16886,1,1887,7,147.4872048,-42.0801398,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
16887,1,1887,7,147.4872048,-42.0801398,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
17371,1,2005,7,145.5167602,-38.3376816,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
244-111733,0,1974,6,173.2443635,-41.2985321,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
35514,1,2018,8,145.0167856,-38.4826457,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
35515,1,2018,8,145.0167856,-38.4826457,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
35577,1,2000,7,145.5167602,-38.3376816,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
390-122989,0,1974,7,175.0286083,-39.9330715,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
391-122990,0,1974,7,175.0286083,-39.9330715,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
392-122991,0,1974,7,175.0286083,-39.9330715,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
585-122580,1,1974,7,147.43,-42.97,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
586-122581,1,1974,7,147.43,-42.97,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
587-122582,1,1974,7,147.43,-42.97,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
588-122583,1,1974,7,147.43,-42.97,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
589-122584,1,1974,7,147.43,-42.97,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
590-122585,1,1974,7,147.43,-42.97,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
591-122586,1,1976,7,147.43,-42.97,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
592-122587,1,1974,7,147.43,-42.97,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
593-122588,1,1974,7,147.43,-42.97,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
594-122589,1,1974,7,147.43,-42.97,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
595-122590,1,1974,7,147.43,-42.97,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
596-122591,1,1974,7,147.43,-42.97,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
A9452,1,1964,7,115.0067215,-29.9367636,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AV1747,0,1928,8,174.7787463,-41.2923814,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
AV2421,0,1910,8,172.4969331,-43.7927896,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AV3132-OMNZ,0,1953,6,170.6860214,-45.8188569,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AV706,0,1908,8,174.8472141,-41.1380517,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AV708,0,1899,5,174.7644881,-36.8508827,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MNHN-Z0-M0-2003-799,0,1874,7,172.1006571,-43.6357606,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
