ring,rung1_class,isotope,breast,primary
04258275,migrant,d13c,-24.7783096085409,-22.4357835112693
04258275,migrant,d15n,10.2217622885413,8.09220874561123
CP16140,migrant,d13c,-21.5316150652432,-17.7990321365754
CP16140,migrant,d15n,10.2436446696457,15.3931344565886
CP16409,resident,d13c,-22.3942241992883,-21.9745952015128
CP16409,resident,d15n,12.7790169166933,12.944080586374
CP16446,migrant,d13c,-15.4022577127146,-20.6758279163219
CP16446,migrant,d15n,11.2253930192501,14.0444474706613
CP16461,resident,d13c,-24.2775705812574,-14.485979789623
CP16461,resident,d15n,9.53644589849984,11.6689730444186
CP16470,resident,d13c,-20.1855223087705,-14.5829328684553
CP16470,resident,d15n,11.8090707413693,14.7703700885168
CP16501,resident,d13c,-14.3823997627521,-14.7425014773667
CP16501,resident,d15n,13.3340336737951,11.7608367044499
CP16507,resident,d13c,-23.0949341161739,-22.3483351915414
CP16507,resident,d15n,12.4186358248271,13.3089619458985
CP16529,migrant,d13c,-15.7312208958752,-23.0117911594374
CP16529,migrant,d15n,14.3719613890335,7.4861809588657
CP16533,migrant,d13c,-24.042665172555,-23.7924654296182
CP16533,migrant,d15n,10.4110709464009,3.44517843553491
CP16534,migrant,d13c,-10.2603025349417,-22.870401252807
CP16534,migrant,d15n,10.5236576148647,3.09469860215485
CP16536,migrant,d13c,-15.617931624941,-22.758509972868598
CP16536,migrant,d15n,13.6422268824368,5.76142460136077
CP16543,resident,d13c,-14.0446412953552,-16.2882895810577
CP16543,resident,d15n,12.7463740136981,11.6899878349192
CP16609,migrant,d13c,-22.738304318616,-17.9500325020683
CP16609,migrant,d15n,12.0726227186834,14.3180414146674
CP16627,resident,d13c,-21.2924562087123,-22.8453942861546
CP16627,resident,d15n,13.9967809700958,13.7672775514046
CP16628,resident,d13c,-21.5199033671861,-21.9624071953173
CP16628,resident,d15n,14.3500364670151,12.0169773361164
CP16641,migrant,d13c,-12.6632633451957,-15.5855925266904
CP16641,migrant,d15n,14.7772761729971,11.5715073412065
CP16642,migrant,d13c,-17.8242892043911,-18.9598469733855
CP16642,migrant,d15n,11.7215509413972,12.6634755081217
CP16643,migrant,d13c,-24.2527181048461,-22.4837130750336
CP16643,migrant,d15n,8.30492445178543,12.6978744718904
CP16652,resident,d13c,-14.09959371293,-16.4512425860024
CP16652,resident,d15n,13.3877449728695,12.6914873922758
CP16655,migrant,d13c,-24.7559366505141,-22.3998596098855
CP16655,migrant,d15n,7.8216830215885,4.15782584920362
CP16656,migrant,d13c,-21.9086897983393,-23.5834103533861
CP16656,migrant,d15n,12.5950059846792,3.88752192894621
CP16667,migrant,d13c,-16.9847442701969,-22.8979289872113
CP16667,migrant,d15n,9.53620500785815,6.43119266062136
CP16693,migrant,d13c,-23.9903077104457,-23.5712912185321
CP16693,migrant,d15n,10.3932300598609,9.98347458645412
CP16784,resident,d13c,-17.7753149745893,-20.600078291815
CP16784,resident,d15n,12.4697845155605,10.0258155122885
CP16815,migrant,d13c,-11.5019399887621,-22.1190010157748
CP16815,migrant,d15n,10.336486782594,3.38283743018004
CP16906,resident,d13c,-16.5028394162731,-13.6498010358103
CP16906,resident,d15n,13.1400023297407,15.259585538427901
CP16938,migrant,d13c,-11.7732858837485,-24.5751595556081
CP16938,migrant,d15n,13.0505573731248,4.03031000921216
CP16945,migrant,d13c,-11.7238269708072,-24.6080177935943
CP16945,migrant,d15n,13.2076893499419,4.96402290137249
CP16953,migrant,d13c,-11.1905850372296,-24.7953238387897
CP16953,migrant,d15n,18.6186586293908,6.09923939600272
CP16958,migrant,d13c,-15.333309301501,-23.3505356424689
CP16958,migrant,d15n,15.8617503104097,12.5582551483587
CP16990,migrant,d13c,-12.5570174920222,-21.3171321356814
CP16990,migrant,d15n,13.8936712460448,11.1108014579245
CP17010,resident,d13c,-20.7990391206713,-23.6830423249234
CP17010,resident,d15n,8.32593463371651,6.26209391684193
CP17011,migrant,d13c,-16.8007345467439,-22.5847413462965
CP17011,migrant,d15n,13.2755885769215,7.86987873353459
CP19311,migrant,d13c,-22.5401886120996,-23.2344802623803
CP19311,migrant,d15n,8.16879707947654,5.47167080546321
CP19312,migrant,d13c,-20.1365264153173,-22.7393146013286
CP19312,migrant,d15n,15.7489177714583,7.50565441127808
CP19314,migrant,d13c,-20.9353793877792,-22.7451701926486
CP19314,migrant,d15n,9.11276685224496,3.88852044699003
CP19327,migrant,d13c,-14.7462971530249,-14.4092252688807
CP19327,migrant,d15n,14.2859172518353,10.132253774983
CP19340,migrant,d13c,-23.1370222195958,-24.1378607729583
CP19340,migrant,d15n,12.2141638963432,3.1426274682581
CP19346,resident,d13c,-23.6106784068077,-21.4089644128114
CP19346,resident,d15n,11.4762590619618,13.9745906479413
CP19350,migrant,d13c,-22.9932864768683,-20.4117485454833
CP19350,migrant,d15n,10.2356874401532,15.2903010272083
CP19360,migrant,d13c,-15.6494167356104,-12.5071712878275
CP19360,migrant,d15n,9.64897104177514,8.99088025870186
CP19361,resident,d13c,-13.9185362373694,-18.6217265975006
CP19361,resident,d15n,13.103579897515,12.068069487138
CP19365,migrant,d13c,-23.3101243339637,-22.7946566599693
CP19365,migrant,d15n,11.322927655372,3.98038410702127
CP19366,migrant,d13c,-13.6699580427845,-24.0318183429855
CP19366,migrant,d15n,10.7163868306164,2.68630472223335
CP19368,migrant,d13c,-23.9349596678529,-23.7243402461414
CP19368,migrant,d15n,11.5187906958187,3.42735373623361
CP19371,resident,d13c,-12.4035084505378,-18.2752292873183
CP19371,resident,d15n,13.4932655104738,11.6060664076581
CP19907,resident,d13c,-22.1134454329775,-24.0742353149746
CP19907,resident,d15n,11.3039454995212,8.62449152881804
CP19908,resident,d13c,-17.4723366032384,-19.9847977461447
CP19908,resident,d15n,10.1721944967357,8.08425151611874
CP19915,migrant,d13c,-26.9150664294187,-23.2582135681362
CP19915,migrant,d15n,11.5217746568784,6.887070132575
CP19921,resident,d13c,-23.3146109134045,-21.715084223013
CP19921,resident,d15n,8.23046560804341,7.0985497127354
CP19922,resident,d13c,-24.0930877817319,-24.02618742586
CP19922,resident,d15n,5.26440831471433,5.90297598148739
CP19923,resident,d13c,-24.2471613285884,-22.9138281527006
CP19923,resident,d15n,7.4476731567188,7.99842071534426
CP19931,migrant,d13c,-13.1476905276339,-22.6179192766812
CP19931,migrant,d15n,14.4329986737513,10.077335282573
CP19983,resident,d13c,-19.0124766576055,-24.6408048694008
CP19983,resident,d15n,12.5227059718829,8.73732406776946
CP9059,resident,d13c,-18.0455411184568,-14.5257161476591
CP9059,resident,d15n,12.5936658463559,14.8629857208597
