ring,rung1_class,status,abs_delta_d13c,abs_delta_d15n,normalised_d13c_Breast,normalised_d13c_Primary,normalised_d15n_Breast,normalised_d15n_Primary
04258275,migrant,AU migrant,2.34252609727165,2.1295535429301,-24.7783096085409,-22.4357835112693,10.2217622885413,8.09220874561123
CP16140,migrant,NI migrant,3.73258292866777,5.14948978694289,-21.5316150652432,-17.7990321365754,10.2436446696457,15.3931344565886
CP16409,resident,resident,0.419628997775433,0.165063669680752,-22.3942241992883,-21.9745952015128,12.7790169166933,12.944080586374
CP16446,migrant,AU migrant,5.27357020360734,2.81905445141117,-15.4022577127146,-20.6758279163219,11.2253930192501,14.0444474706613
CP16461,resident,resident,9.79159079163444,2.13252714591879,-24.2775705812574,-14.485979789623,9.53644589849984,11.6689730444186
CP16470,resident,resident,5.60258944031524,2.96129934714754,-20.1855223087705,-14.5829328684553,11.8090707413693,14.7703700885168
CP16501,resident,resident,0.360101714614668,1.57319696934521,-14.3823997627521,-14.7425014773667,13.3340336737951,11.7608367044499
CP16507,resident,resident,0.746598924632444,0.890326121071482,-23.0949341161739,-22.3483351915414,12.4186358248271,13.3089619458985
CP16529,migrant,AU migrant,7.28057026356222,6.88578043016782,-15.7312208958752,-23.0117911594374,14.3719613890335,7.4861809588657
CP16533,migrant,AU migrant,0.250199742936754,6.96589251086599,-24.042665172555,-23.7924654296182,10.4110709464009,3.44517843553491
CP16534,migrant,AU migrant,12.6100987178653,7.42895901270985,-10.2603025349417,-22.870401252807,10.5236576148647,3.09469860215485
CP16536,migrant,SI migrant,7.14057834792763,7.88080228107603,-15.617931624941,-22.758509972868598,13.6422268824368,5.76142460136077
CP16543,resident,resident,2.24364828570254,1.05638617877888,-14.0446412953552,-16.2882895810577,12.7463740136981,11.6899878349192
CP16609,migrant,SI migrant,4.7882718165477,2.24541869598399,-22.738304318616,-17.9500325020683,12.0726227186834,14.3180414146674
CP16627,resident,resident,1.55293807744233,0.22950341869115,-21.2924562087123,-22.8453942861546,13.9967809700958,13.7672775514046
CP16628,resident,resident,0.442503828131272,2.33305913089867,-21.5199033671861,-21.9624071953173,14.3500364670151,12.0169773361164
CP16641,migrant,SI migrant,2.92232918149466,3.20576883179061,-12.6632633451957,-15.5855925266904,14.7772761729971,11.5715073412065
CP16642,migrant,AU migrant,1.1355577689944,0.941924566724488,-17.8242892043911,-18.9598469733855,11.7215509413972,12.6634755081217
CP16643,migrant,AU migrant,1.76900502981245,4.39295002010496,-24.2527181048461,-22.4837130750336,8.30492445178543,12.6978744718904
CP16652,resident,resident,2.35164887307236,0.696257580593681,-14.09959371293,-16.4512425860024,13.3877449728695,12.6914873922758
CP16655,migrant,AU migrant,2.35607704062864,3.66385717238488,-24.7559366505141,-22.3998596098855,7.8216830215885,4.15782584920362
CP16656,migrant,AU migrant,1.67472055504686,8.70748405573301,-21.9086897983393,-23.5834103533861,12.5950059846792,3.88752192894621
CP16667,migrant,AU migrant,5.91318471701446,3.10501234723678,-16.9847442701969,-22.8979289872113,9.53620500785815,6.43119266062136
CP16693,migrant,SI migrant,0.419016491913609,0.409755473406777,-23.9903077104457,-23.5712912185321,10.3932300598609,9.98347458645412
