validation_layer,ring,truth,base_prob_migrant,uncertainty_prob_migrant_mean,uncertainty_prob_migrant_q10,uncertainty_prob_migrant_q90,class_support,boundary_crosses,indeterminate,operational_call,switch_rate_from_base,top_prob_abs_shift
blocked_coordinate_cv,CP16409,resident,0.3917244739430007,0.4124628877120363,0.38809047612668346,0.4444820220290324,0.998,FALSE,FALSE,NA,0.002,0.02068773542510438
blocked_coordinate_cv,CP16446,migrant,0.5275321902003733,0.5292451105875217,0.47214889830125345,0.5836964100211374,0.746,TRUE,TRUE,indeterminate,0.254,0.01415777343162161
blocked_coordinate_cv,CP16536,migrant,0.8463016035624151,0.8433425744928822,0.7989740579615604,0.8850593985525305,1,FALSE,FALSE,NA,0,0.00295902906953293
blocked_coordinate_cv,CP16641,migrant,0.527309845155489,0.5312986159654949,0.4758014058037359,0.6017075386512577,0.718,TRUE,TRUE,indeterminate,0.28200000000000003,0.0159293625862924
blocked_coordinate_cv,CP16655,migrant,0.55785557570809,0.5593570101848221,0.5008745169415979,0.6227986905124221,0.906,FALSE,FALSE,NA,0.09399999999999996,0.00422885730713085
blocked_coordinate_cv,CP16953,migrant,0.9719746137507168,0.971205228796322,0.9617650600294264,0.9794683983030288,1,FALSE,FALSE,NA,0,7.69384954394825e-4
blocked_coordinate_cv,CP16990,migrant,0.5918171221130503,0.5931166239888965,0.5353960060068319,0.65304039059524,0.98,FALSE,FALSE,NA,0.02000000000000001,0.00188665683547739
blocked_coordinate_cv,CP19312,migrant,0.842056518706396,0.8405079532122629,0.7934364100399062,0.8829995782019447,1,FALSE,FALSE,NA,0,0.00154856549413306
blocked_coordinate_cv,CP19346,resident,0.49555244646226027,0.5000155316355646,0.4518477957420663,0.5529491870335419,0.504,TRUE,TRUE,indeterminate,0.504,0.02665179557735431
blocked_coordinate_cv,CP19366,migrant,0.8753472245587319,0.8723911860984207,0.834956891189015,0.904130980204588,1,FALSE,FALSE,NA,0,0.00295603846031122
blocked_coordinate_cv,CP19907,resident,0.5059247017768063,0.5086505699932095,0.4552788886085295,0.5623538194435062,0.57,TRUE,TRUE,indeterminate,0.4300000000000001,0.02795694275695504
blocked_coordinate_cv,CP9059,resident,0.48380353532031334,0.4854671706292128,0.4449570736180471,0.527300810709206,0.6659999999999999,TRUE,TRUE,indeterminate,0.334,0.01443814319777758
blocked_coordinate_cv,CP16140,migrant,0.6893021983999339,0.6873674150189734,0.6058817786889525,0.7618394126212705,1,FALSE,FALSE,NA,0,0.00193478338096053
blocked_coordinate_cv,CP16501,resident,0.4276860336922446,0.43283309490115734,0.3687020555030289,0.49842966428101054,0.908,FALSE,FALSE,NA,0.092,5.451561776560476e-4
