ring,rung2_class,isotope,value
04258275,AU migrant,normalised_d13c_Breast,-24.7783096085409
04258275,AU migrant,normalised_d15n_Breast,10.2217622885413
04258275,AU migrant,normalised_d2h_Breast,-0.561124353151239
CP16140,NZ migrant,normalised_d13c_Breast,-21.5316150652432
CP16140,NZ migrant,normalised_d15n_Breast,10.2436446696457
CP16140,NZ migrant,normalised_d2h_Breast,-24.6651858347084
CP16409,resident,normalised_d13c_Breast,-22.3942241992883
CP16409,resident,normalised_d15n_Breast,12.7790169166933
CP16409,resident,normalised_d2h_Breast,-1.51704385612866
CP16446,AU migrant,normalised_d13c_Breast,-15.4022577127146
CP16446,AU migrant,normalised_d15n_Breast,11.2253930192501
CP16446,AU migrant,normalised_d2h_Breast,-13.4623786355737
CP16461,resident,normalised_d13c_Breast,-24.2775705812574
CP16461,resident,normalised_d15n_Breast,9.53644589849984
CP16461,resident,normalised_d2h_Breast,-0.399887446027748
CP16470,resident,normalised_d13c_Breast,-20.1855223087705
CP16470,resident,normalised_d15n_Breast,11.8090707413693
CP16470,resident,normalised_d2h_Breast,1.16765672660225
CP16501,resident,normalised_d13c_Breast,-14.3823997627521
CP16501,resident,normalised_d15n_Breast,13.3340336737951
CP16501,resident,normalised_d2h_Breast,-15.2430603892517
CP16507,resident,normalised_d13c_Breast,-23.0949341161739
CP16507,resident,normalised_d15n_Breast,12.4186358248271
CP16507,resident,normalised_d2h_Breast,6.70008281067213
CP16529,AU migrant,normalised_d13c_Breast,-15.7312208958752
CP16529,AU migrant,normalised_d15n_Breast,14.3719613890335
CP16529,AU migrant,normalised_d2h_Breast,-32.6667027189227
CP16533,AU migrant,normalised_d13c_Breast,-24.042665172555
CP16533,AU migrant,normalised_d15n_Breast,10.4110709464009
CP16533,AU migrant,normalised_d2h_Breast,-13.2879079780336
CP16534,AU migrant,normalised_d13c_Breast,-10.2603025349417
CP16534,AU migrant,normalised_d15n_Breast,10.5236576148647
CP16534,AU migrant,normalised_d2h_Breast,7.67023696197101
CP16536,NZ migrant,normalised_d13c_Breast,-15.617931624941
CP16536,NZ migrant,normalised_d15n_Breast,13.6422268824368
CP16536,NZ migrant,normalised_d2h_Breast,3.72524978572474
CP16543,resident,normalised_d13c_Breast,-14.0446412953552
CP16543,resident,normalised_d15n_Breast,12.7463740136981
CP16543,resident,normalised_d2h_Breast,-23.3261466074447
CP16609,NZ migrant,normalised_d13c_Breast,-22.738304318616
CP16609,NZ migrant,normalised_d15n_Breast,12.0726227186834
CP16609,NZ migrant,normalised_d2h_Breast,-5.07977238638779
CP16627,resident,normalised_d13c_Breast,-21.2924562087123
CP16627,resident,normalised_d15n_Breast,13.9967809700958
CP16627,resident,normalised_d2h_Breast,-5.7186438009701
CP16628,resident,normalised_d13c_Breast,-21.5199033671861
CP16628,resident,normalised_d15n_Breast,14.3500364670151
CP16628,resident,normalised_d2h_Breast,5.94469526556098
CP16641,NZ migrant,normalised_d13c_Breast,-12.6632633451957
CP16641,NZ migrant,normalised_d15n_Breast,14.7772761729971
CP16641,NZ migrant,normalised_d2h_Breast,-9.2631726432784
CP16642,AU migrant,normalised_d13c_Breast,-17.8242892043911
CP16642,AU migrant,normalised_d15n_Breast,11.7215509413972
CP16642,AU migrant,normalised_d2h_Breast,-14.505831756736
CP16643,AU migrant,normalised_d13c_Breast,-24.2527181048461
CP16643,AU migrant,normalised_d15n_Breast,8.30492445178543
CP16643,AU migrant,normalised_d2h_Breast,-15.8921260286888
CP16652,resident,normalised_d13c_Breast,-14.09959371293
CP16652,resident,normalised_d15n_Breast,13.3877449728695
CP16652,resident,normalised_d2h_Breast,-20.2381498006621
CP16655,AU migrant,normalised_d13c_Breast,-24.7559366505141
CP16655,AU migrant,normalised_d15n_Breast,7.8216830215885
CP16655,AU migrant,normalised_d2h_Breast,4.85116659614611
CP16656,AU migrant,normalised_d13c_Breast,-21.9086897983393
CP16656,AU migrant,normalised_d15n_Breast,12.5950059846792
CP16656,AU migrant,normalised_d2h_Breast,14.2174683824138
CP16667,AU migrant,normalised_d13c_Breast,-16.9847442701969
CP16667,AU migrant,normalised_d15n_Breast,9.53620500785815
CP16667,AU migrant,normalised_d2h_Breast,-7.09243244003951
CP16693,NZ migrant,normalised_d13c_Breast,-23.9903077104457
CP16693,NZ migrant,normalised_d15n_Breast,10.3932300598609
CP16693,NZ migrant,normalised_d2h_Breast,-26.71935198726
CP16784,resident,normalised_d13c_Breast,-17.7753149745893
CP16784,resident,normalised_d15n_Breast,12.4697845155605
CP16784,resident,normalised_d2h_Breast,5.41951563916892
