ring,rung2_class,status,normalised_d13c_Breast,normalised_d15n_Breast,normalised_d2h_Breast,abs_delta_d13c,abs_delta_d15n,abs_delta_d2h
04258275,AU migrant,AU migrant,-24.7783096085409,10.2217622885413,-0.561124353151239,2.34252609727165,2.1295535429301,40.14354033708307
CP16140,NZ migrant,NI migrant,-21.5316150652432,10.2436446696457,-24.6651858347084,3.73258292866777,5.14948978694289,15.045138110406409
CP16409,resident,resident,-22.3942241992883,12.7790169166933,-1.51704385612866,0.419628997775433,0.165063669680752,11.284485597625139
CP16446,AU migrant,AU migrant,-15.4022577127146,11.2253930192501,-13.4623786355737,5.27357020360734,2.81905445141117,5.655877691773799
CP16461,resident,resident,-24.2775705812574,9.53644589849984,-0.399887446027748,9.79159079163444,2.13252714591879,14.413618953262752
CP16470,resident,resident,-20.1855223087705,11.8090707413693,1.16765672660225,5.60258944031524,2.96129934714754,18.56628403618295
CP16501,resident,resident,-14.3823997627521,13.3340336737951,-15.2430603892517,0.360101714614668,1.57319696934521,3.3418691577508994
CP16507,resident,resident,-23.0949341161739,12.4186358248271,6.70008281067213,0.746598924632444,0.890326121071482,33.15245926312393
CP16529,AU migrant,AU migrant,-15.7312208958752,14.3719613890335,-32.6667027189227,7.28057026356222,6.88578043016782,22.929818002659204
CP16533,AU migrant,AU migrant,-24.042665172555,10.4110709464009,-13.2879079780336,0.250199742936754,6.96589251086599,7.637323024819201
CP16534,AU migrant,AU migrant,-10.2603025349417,10.5236576148647,7.67023696197101,12.6100987178653,7.42895901270985,17.07424739618831
CP16536,NZ migrant,SI migrant,-15.617931624941,13.6422268824368,3.72524978572474,7.14057834792763,7.88080228107603,30.25125459589814
CP16543,resident,resident,-14.0446412953552,12.7463740136981,-23.3261466074447,2.24364828570254,1.05638617877888,8.348847214202499
CP16609,NZ migrant,SI migrant,-22.738304318616,12.0726227186834,-5.07977238638779,4.7882718165477,2.24541869598399,10.040874958378808
CP16627,resident,resident,-21.2924562087123,13.9967809700958,-5.7186438009701,1.55293807744233,0.22950341869115,23.2722987085904
CP16628,resident,resident,-21.5199033671861,14.3500364670151,5.94469526556098,0.442503828131272,2.33305913089867,62.74922983723798
CP16641,NZ migrant,SI migrant,-12.6632633451957,14.7772761729971,-9.2631726432784,2.92232918149466,3.20576883179061,13.190601231146799
CP16642,AU migrant,AU migrant,-17.8242892043911,11.7215509413972,-14.505831756736,1.1355577689944,0.941924566724488,34.0782230101956
CP16643,AU migrant,AU migrant,-24.2527181048461,8.30492445178543,-15.8921260286888,1.76900502981245,4.39295002010496,5.011820907679802
CP16652,resident,resident,-14.09959371293,13.3877449728695,-20.2381498006621,2.35164887307236,0.696257580593681,0.887593458038701
CP16655,AU migrant,AU migrant,-24.7559366505141,7.8216830215885,4.85116659614611,2.35607704062864,3.66385717238488,26.10030693340301
CP16656,AU migrant,AU migrant,-21.9086897983393,12.5950059846792,14.2174683824138,1.67472055504686,8.70748405573301,31.9200629226858
CP16667,AU migrant,AU migrant,-16.9847442701969,9.53620500785815,-7.09243244003951,5.91318471701446,3.10501234723678,41.34091064762409
CP16693,NZ migrant,SI migrant,-23.9903077104457,10.3932300598609,-26.71935198726,0.419016491913609,0.409755473406777,11.810490645304302
CP16784,resident,resident,-17.7753149745893,12.4697845155605,5.41951563916892,2.82476331722566,2.443969003272,20.02608169811442
CP16815,AU migrant,AU migrant,-11.5019399887621,10.336486782594,1.61521541282142,10.6170610270126,6.95364935241395,30.761444834545422
CP16906,resident,resident,-16.5028394162731,13.1400023297407,0.256205020893907,2.85303838046281,2.11958320868722,13.862854193214506
CP16938,NZ migrant,NI migrant,-11.7732858837485,13.0505573731248,5.92872165565658,12.8018736718596,9.02024736391264,21.66588719972808
CP16945,NZ migrant,NI migrant,-11.7238269708072,13.2076893499419,6.53339665206986,12.8841908227871,8.24366644856944,23.07947112590126
CP16953,NZ migrant,NI migrant,-11.1905850372296,18.6186586293908,3.99308970394748,13.6047388015601,12.5194192333881,26.595848356735978
CP16958,NZ migrant,NI migrant,-15.333309301501,15.8617503104097,-19.3472246308733,8.01722634096787,3.30349516205102,16.4254701568592
CP16990,NZ migrant,NI migrant,-12.5570174920222,13.8936712460448,-3.16996835110101,8.76011464365914,2.78286978812032,7.992217266500889
CP17010,resident,resident,-20.7990391206713,8.32593463371651,-10.8621226749196,2.88400320425209,2.06384071687458,1.227369852721699
CP17011,NZ migrant,SI migrant,-16.8007345467439,13.2755885769215,-13.8562071586242,5.78400679955261,5.40570984338694,11.975628727989202
CP19311,NZ migrant,SI migrant,-22.5401886120996,8.16879707947654,-67.5925063450784,0.69429165028065,2.69712627401333,36.81049003508501
CP19312,AU migrant,AU migrant,-20.1365264153173,15.7489177714583,-5.76406501795435,2.60278818601131,8.24326336018024,0.8955167903542804
CP19314,AU migrant,AU migrant,-20.9353793877792,9.11276685224496,-4.50714443967175,1.8097908048694,5.22424640525494,16.99207948516935
CP19327,NZ migrant,SI migrant,-14.7462971530249,14.2859172518353,-10.4885647577129,0.337071884144162,4.15366347685232,12.7850648073148
CP19340,AU migrant,AU migrant,-23.1370222195958,12.2141638963432,3.25806710111963,1.00083855336249,9.07153642808507,29.83661811676413
CP19346,resident,resident,-23.6106784068077,11.4762590619618,-11.4546469831619,2.20171399399631,2.49833158597948,0.8831103351730007
CP19350,NZ migrant,SI migrant,-22.9932864768683,10.2356874401532,-14.5679577035717,2.58153793138503,5.05461358705509,9.66309386034715
