candidate_id,candidate_label,validation_layer,ring,truth,top_class_mean_prob,class_support,indeterminate,operational_call,switch_rate_from_base,top_prob_abs_shift
r2_a_breast_cn,Rung 2 A: Breast-only C/N,blocked_coordinate_cv,CP16409,resident,0.4090909090909091,1,TRUE,indeterminate,0,0
r2_a_breast_cn,Rung 2 A: Breast-only C/N,blocked_coordinate_cv,CP16446,AU migrant,0.4090909090909091,1,TRUE,indeterminate,0,NA
r2_a_breast_cn,Rung 2 A: Breast-only C/N,blocked_coordinate_cv,CP16536,NZ migrant,0.4090909090909091,1,TRUE,indeterminate,0,NA
r2_a_breast_cn,Rung 2 A: Breast-only C/N,blocked_coordinate_cv,CP16641,NZ migrant,0.4090909090909091,1,TRUE,indeterminate,0,NA
r2_a_breast_cn,Rung 2 A: Breast-only C/N,blocked_coordinate_cv,CP16655,AU migrant,0.4090909090909091,1,TRUE,indeterminate,0,NA
r2_a_breast_cn,Rung 2 A: Breast-only C/N,blocked_coordinate_cv,CP16953,NZ migrant,0.4090909090909091,1,TRUE,indeterminate,0,NA
r2_a_breast_cn,Rung 2 A: Breast-only C/N,blocked_coordinate_cv,CP16990,NZ migrant,0.4090909090909091,1,TRUE,indeterminate,0,NA
r2_a_breast_cn,Rung 2 A: Breast-only C/N,blocked_coordinate_cv,CP19312,AU migrant,0.4090909090909091,1,TRUE,indeterminate,0,NA
r2_a_breast_cn,Rung 2 A: Breast-only C/N,blocked_coordinate_cv,CP19346,resident,0.4090909090909091,1,TRUE,indeterminate,0,NA
r2_a_breast_cn,Rung 2 A: Breast-only C/N,blocked_coordinate_cv,CP19366,AU migrant,0.4090909090909091,1,TRUE,indeterminate,0,NA
r2_a_breast_cn,Rung 2 A: Breast-only C/N,blocked_coordinate_cv,CP19907,resident,0.4090909090909091,1,TRUE,indeterminate,0,NA
r2_a_breast_cn,Rung 2 A: Breast-only C/N,blocked_coordinate_cv,CP9059,resident,0.4090909090909091,1,TRUE,indeterminate,0,NA
r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,blocked_coordinate_cv,CP16409,resident,0.6148921302773235,1,FALSE,resident,0,0.02173256666531053
r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,blocked_coordinate_cv,CP16446,AU migrant,0.4606637931598057,0.972,TRUE,indeterminate,0.028,NA
r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,blocked_coordinate_cv,CP16536,NZ migrant,0.4636410928423037,0.996,TRUE,indeterminate,0.004,NA
r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,blocked_coordinate_cv,CP16641,NZ migrant,0.47372091699138785,0.994,TRUE,indeterminate,0.006,NA
r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,blocked_coordinate_cv,CP16655,AU migrant,0.4393106840038712,0.762,TRUE,indeterminate,0.238,NA
r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,blocked_coordinate_cv,CP16953,NZ migrant,0.5052895006133287,0.958,FALSE,NZ migrant,0.042,NA
r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,blocked_coordinate_cv,CP16990,NZ migrant,0.4542016343671154,0.898,TRUE,indeterminate,0.102,NA
r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,blocked_coordinate_cv,CP19312,AU migrant,0.4381049493253812,0.998,TRUE,indeterminate,0.002,NA
r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,blocked_coordinate_cv,CP19346,resident,0.491361343234698,0.998,TRUE,indeterminate,0.002,NA
r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,blocked_coordinate_cv,CP19366,AU migrant,0.4679131886580577,0.99,TRUE,indeterminate,0.01,NA
r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,blocked_coordinate_cv,CP19907,resident,0.40998851484246746,0.658,TRUE,indeterminate,0.342,NA
r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,blocked_coordinate_cv,CP9059,resident,0.48951483328830503,0.994,TRUE,indeterminate,0.006,NA
r2_a_breast_cn,Rung 2 A: Breast-only C/N,blocked_coordinate_cv,CP16140,NZ migrant,0.4,1,TRUE,indeterminate,0,0
r2_a_breast_cn,Rung 2 A: Breast-only C/N,blocked_coordinate_cv,CP16501,resident,0.4,1,TRUE,indeterminate,0,NA
r2_a_breast_cn,Rung 2 A: Breast-only C/N,blocked_coordinate_cv,CP16529,AU migrant,0.4,1,TRUE,indeterminate,0,NA
r2_a_breast_cn,Rung 2 A: Breast-only C/N,blocked_coordinate_cv,CP16533,AU migrant,0.4,1,TRUE,indeterminate,0,NA
r2_a_breast_cn,Rung 2 A: Breast-only C/N,blocked_coordinate_cv,CP16609,NZ migrant,0.4,1,TRUE,indeterminate,0,NA
r2_a_breast_cn,Rung 2 A: Breast-only C/N,blocked_coordinate_cv,CP16652,resident,0.4,1,TRUE,indeterminate,0,NA
r2_a_breast_cn,Rung 2 A: Breast-only C/N,blocked_coordinate_cv,CP16945,NZ migrant,0.4,1,TRUE,indeterminate,0,NA
r2_a_breast_cn,Rung 2 A: Breast-only C/N,blocked_coordinate_cv,CP19314,AU migrant,0.4,1,TRUE,indeterminate,0,NA
r2_a_breast_cn,Rung 2 A: Breast-only C/N,blocked_coordinate_cv,CP19368,AU migrant,0.4,1,TRUE,indeterminate,0,NA
r2_a_breast_cn,Rung 2 A: Breast-only C/N,blocked_coordinate_cv,CP19371,resident,0.4,1,TRUE,indeterminate,0,NA
r2_a_breast_cn,Rung 2 A: Breast-only C/N,blocked_coordinate_cv,CP19923,resident,0.4,1,TRUE,indeterminate,0,NA
