source_order,ring,model_id,model_label,prediction_available,class,probability,operational_call,longitude_capture,latitude_capture,informal_rung2_consensus,model_short
1,CP16670,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.5105719471710201,indeterminate,169.215938011184,-45.3418160229921,single-model lead: resident,R1 C
1,CP16670,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.48942805282897994,indeterminate,169.215938011184,-45.3418160229921,single-model lead: resident,R1 C
1,CP16670,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate,169.215938011184,-45.3418160229921,single-model lead: resident,R2 A
1,CP16670,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate,169.215938011184,-45.3418160229921,single-model lead: resident,R2 A
1,CP16670,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.3928571428571429,indeterminate,169.215938011184,-45.3418160229921,single-model lead: resident,R2 A
1,CP16670,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.288324092979378,indeterminate,169.215938011184,-45.3418160229921,single-model lead: resident,R2 C
1,CP16670,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.25306555229770716,indeterminate,169.215938011184,-45.3418160229921,single-model lead: resident,R2 C
1,CP16670,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.4586103547229149,indeterminate,169.215938011184,-45.3418160229921,single-model lead: resident,R2 C
1,CP16670,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.2784754504836468,resident,169.215938011184,-45.3418160229921,single-model lead: resident,R2 S2
1,CP16670,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.19707012026173465,resident,169.215938011184,-45.3418160229921,single-model lead: resident,R2 S2
1,CP16670,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.5244544292546186,resident,169.215938011184,-45.3418160229921,single-model lead: resident,R2 S2
2,CP16671,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.6193573943717087,migrant,169.213724015281,-45.3410719614476,no determinate Rung 2 call,R1 C
2,CP16671,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.3806426056282914,migrant,169.213724015281,-45.3410719614476,no determinate Rung 2 call,R1 C
2,CP16671,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate,169.213724015281,-45.3410719614476,no determinate Rung 2 call,R2 A
2,CP16671,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate,169.213724015281,-45.3410719614476,no determinate Rung 2 call,R2 A
2,CP16671,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.3928571428571429,indeterminate,169.213724015281,-45.3410719614476,no determinate Rung 2 call,R2 A
2,CP16671,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.39005009093033105,indeterminate,169.213724015281,-45.3410719614476,no determinate Rung 2 call,R2 C
2,CP16671,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.2326507478588983,indeterminate,169.213724015281,-45.3410719614476,no determinate Rung 2 call,R2 C
2,CP16671,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.3772991612107706,indeterminate,169.213724015281,-45.3410719614476,no determinate Rung 2 call,R2 C
2,CP16671,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.36286066134752865,indeterminate,169.213724015281,-45.3410719614476,no determinate Rung 2 call,R2 S2
2,CP16671,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.2940388019681501,indeterminate,169.213724015281,-45.3410719614476,no determinate Rung 2 call,R2 S2
2,CP16671,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.3431005366843213,indeterminate,169.213724015281,-45.3410719614476,no determinate Rung 2 call,R2 S2
3,CP16677,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.765069180417569,migrant,169.20916903764,-45.3364670276642,single-model lead: AU migrant,R1 C
3,CP16677,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.234930819582431,migrant,169.20916903764,-45.3364670276642,single-model lead: AU migrant,R1 C
3,CP16677,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate,169.20916903764,-45.3364670276642,single-model lead: AU migrant,R2 A
3,CP16677,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate,169.20916903764,-45.3364670276642,single-model lead: AU migrant,R2 A
3,CP16677,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.3928571428571429,indeterminate,169.20916903764,-45.3364670276642,single-model lead: AU migrant,R2 A
3,CP16677,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.5929213245400108,AU migrant,169.20916903764,-45.3364670276642,single-model lead: AU migrant,R2 C
3,CP16677,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.17743837026507484,AU migrant,169.20916903764,-45.3364670276642,single-model lead: AU migrant,R2 C
3,CP16677,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.2296403051949144,AU migrant,169.20916903764,-45.3364670276642,single-model lead: AU migrant,R2 C
3,CP16677,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.4931917988536931,indeterminate,169.20916903764,-45.3364670276642,single-model lead: AU migrant,R2 S2
3,CP16677,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.3345129671434649,indeterminate,169.20916903764,-45.3364670276642,single-model lead: AU migrant,R2 S2
3,CP16677,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.17229523400284202,indeterminate,169.20916903764,-45.3364670276642,single-model lead: AU migrant,R2 S2
4,CP16678,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.7263732489515122,migrant,169.20916903764,-45.3364670276642,no determinate Rung 2 call,R1 C
4,CP16678,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.27362675104848777,migrant,169.20916903764,-45.3364670276642,no determinate Rung 2 call,R1 C
4,CP16678,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate,169.20916903764,-45.3364670276642,no determinate Rung 2 call,R2 A
4,CP16678,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate,169.20916903764,-45.3364670276642,no determinate Rung 2 call,R2 A
4,CP16678,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.3928571428571429,indeterminate,169.20916903764,-45.3364670276642,no determinate Rung 2 call,R2 A
4,CP16678,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.44541710440422566,indeterminate,169.20916903764,-45.3364670276642,no determinate Rung 2 call,R2 C
4,CP16678,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.29327461659688187,indeterminate,169.20916903764,-45.3364670276642,no determinate Rung 2 call,R2 C
4,CP16678,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.2613082789988925,indeterminate,169.20916903764,-45.3364670276642,no determinate Rung 2 call,R2 C
